TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-6.73,-8.083,2.169,-4.473,3.687,71.148,211.763,1.197,83.207,0.0,2.307
19890102,-7.376,-9.14,2.645,-4.435,4.626,71.522,208.598,1.233,83.314,0.0,1.397
19890103,-7.541,-9.125,2.523,-4.9,4.036,72.479,206.911,1.19,83.628,0.0,0.929
19890104,-8.745,-10.527,2.905,-5.774,4.79,73.663,203.458,1.103,83.532,0.0,1.185
19890105,-8.265,-9.667,2.907,-5.928,3.935,72.086,207.013,1.171,82.879,0.006,1.794
19890106,-4.822,-5.821,3.284,-3.156,2.223,49.504,263.153,1.232,81.917,0.803,1.096
19890107,-0.179,-0.537,1.464,0.417,1.406,41.748,286.5,1.504,81.716,2.149,1.827
19890108,0.181,-0.138,1.149,0.712,1.829,52.202,276.669,1.334,82.192,1.687,2.047
19890109,-1.215,-1.981,1.643,0.062,3.172,74.027,239.009,1.312,82.567,0.002,1.12
19890110,-2.267,-3.567,2.382,-0.099,3.771,75.801,229.622,1.484,82.412,0.0,0.808
19890111,-2.086,-3.172,2.648,-0.276,3.332,73.744,230.182,1.506,82.6,0.001,1.257
19890112,-2.69,-3.524,2.115,-1.299,2.505,57.992,247.899,1.175,82.856,0.142,0.697
19890113,-4.085,-5.868,2.488,-1.115,3.53,73.361,227.02,1.341,83.303,0.043,1.803
19890114,-5.351,-6.446,2.574,-3.526,3.477,79.127,223.003,1.183,83.559,0.0,1.771
19890115,-4.45,-5.562,1.973,-2.596,4.135,81.825,225.668,1.265,83.744,0.0,1.864
19890116,-2.966,-4.549,2.03,-0.328,3.844,80.017,236.935,1.48,83.605,0.0,1.22
19890117,-3.706,-4.658,1.425,-2.118,3.183,84.022,222.246,1.292,83.22,0.0,1.686
19890118,-4.715,-5.975,1.908,-2.79,3.011,81.7,216.896,1.351,83.251,0.0,2.171
19890119,-5.521,-6.928,2.923,-3.372,4.181,85.55,214.834,1.356,83.347,0.0,1.231
19890120,-4.651,-6.002,3.307,-2.59,4.312,86.405,215.004,1.578,83.21,0.0,0.735
19890121,-5.551,-6.09,3.732,-4.728,3.782,86.38,211.94,1.293,82.747,0.0,0.739
19890122,-5.584,-6.189,2.685,-4.662,3.759,85.0,215.701,1.145,82.432,0.007,1.76
19890123,-4.807,-6.107,2.017,-2.822,3.536,90.42,211.831,1.24,83.099,0.005,1.965
19890124,-6.001,-7.692,3.418,-3.42,4.93,94.076,202.944,1.544,83.052,0.0,1.152
19890125,-5.659,-7.383,3.28,-3.027,4.974,94.723,208.596,1.492,83.069,0.0,1.221
19890126,-5.205,-7.155,2.796,-2.474,4.843,96.063,212.174,1.501,83.043,0.0,1.336
19890127,-4.37,-6.038,3.061,-2.034,4.661,97.449,215.24,1.607,83.478,0.0,1.236
19890128,-4.092,-5.729,2.737,-1.801,4.335,100.042,213.051,1.53,83.547,0.0,1.721
19890129,-3.623,-5.44,2.332,-1.079,4.275,101.472,209.345,1.739,83.737,0.0,2.441
19890130,-4.09,-5.788,2.935,-1.712,4.631,103.225,209.809,1.729,83.875,0.0,1.81
19890131,-2.41,-4.116,2.896,-0.021,4.625,103.894,223.819,1.922,83.974,0.0,1.621
19890201,-1.282,-3.209,2.636,1.416,4.746,104.243,227.357,2.175,83.768,0.0,0.917
19890202,-0.899,-2.481,2.964,1.315,4.083,105.215,230.151,2.137,83.377,0.0,1.063
19890203,-1.529,-2.936,2.739,0.441,3.708,107.287,227.111,1.838,83.178,0.0,0.61
19890204,-2.385,-3.505,2.312,-0.816,3.377,107.296,227.916,1.464,83.012,0.0,0.792
19890205,-2.787,-3.854,2.521,-1.293,3.776,112.635,224.434,1.532,83.005,0.004,1.872
