TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,5.641,5.055,2.393,6.534,3.058,84.443,281.829,1.25,102.679,0.012,0.614
19890102,4.752,3.54,2.118,6.602,3.53,83.685,276.888,1.982,102.848,0.0,1.449
19890103,4.751,3.904,1.216,6.044,1.536,85.156,264.442,2.259,103.464,0.0,1.86
19890104,2.555,1.638,1.827,3.954,2.565,81.14,278.56,1.801,103.607,0.051,1.091
19890105,3.386,2.714,1.059,4.41,1.431,58.037,307.606,1.086,102.949,1.047,1.136
19890106,3.055,2.703,1.081,3.591,1.526,39.186,323.36,0.466,101.975,1.047,1.157
19890107,5.462,5.006,1.927,6.157,1.968,44.99,335.709,0.626,101.474,0.818,0.714
19890108,4.752,4.625,0.918,4.945,1.862,64.563,313.4,0.284,101.767,0.013,0.637
19890109,6.003,5.622,1.131,6.585,1.36,55.481,325.4,0.559,102.219,0.077,0.415
19890110,7.742,7.588,1.491,7.977,1.156,52.674,344.434,1.314,102.347,0.135,0.959
19890111,7.949,7.367,0.863,8.837,1.323,49.591,336.22,1.586,102.469,0.044,1.035
19890112,6.138,5.45,1.99,7.188,2.569,82.25,297.062,1.622,102.782,0.001,0.759
19890113,6.822,6.203,2.072,7.768,1.515,57.917,319.555,1.163,103.166,0.139,0.606
19890114,5.292,5.388,2.141,5.147,2.093,77.863,306.702,0.993,103.415,0.026,0.655
19890115,6.402,6.401,0.946,6.403,1.815,91.588,293.399,0.986,103.461,0.002,0.305
19890116,5.777,5.708,0.931,5.873,1.642,85.741,290.628,0.726,103.399,0.014,0.521
19890117,6.072,5.897,0.616,6.316,0.937,66.873,319.165,0.935,103.172,0.187,0.369
19890118,5.874,5.519,1.471,6.372,1.511,74.303,308.519,1.366,102.999,0.065,0.897
19890119,4.692,4.215,2.344,5.36,2.331,94.714,278.665,1.732,102.968,0.0,1.078
19890120,4.92,4.013,2.153,6.19,3.118,99.948,276.146,2.045,102.943,0.0,0.976
19890121,4.519,3.777,0.954,5.557,1.425,49.756,321.628,1.219,102.661,1.324,1.235
19890122,5.76,5.112,1.885,6.667,1.537,63.884,319.663,1.278,101.991,2.747,1.67
19890123,6.898,5.768,0.626,8.479,1.983,106.654,283.47,2.966,102.528,0.69,1.947
19890124,5.316,4.317,1.339,6.715,2.332,105.996,271.379,2.43,102.658,0.0,1.236
19890125,5.019,4.032,3.051,6.402,3.274,108.763,269.679,2.261,102.694,0.0,0.776
19890126,4.896,3.737,2.356,6.518,3.151,111.865,266.938,2.48,102.667,0.0,1.128
19890127,4.209,3.34,2.52,5.427,2.854,110.677,267.784,2.17,103.262,0.0,1.073
19890128,5.185,4.447,2.813,6.218,2.945,113.526,268.987,1.916,103.291,0.0,0.696
19890129,6.067,5.162,2.607,7.335,3.568,116.006,269.995,2.696,103.212,0.0,0.885
19890130,5.947,4.861,3.313,7.468,3.532,114.68,269.606,2.892,103.52,0.0,0.771
19890131,6.277,5.365,3.05,7.554,3.294,116.232,272.316,2.398,103.569,0.0,0.612
19890201,7.337,6.601,3.196,8.368,3.16,112.087,292.557,2.47,103.276,0.005,0.568
19890202,7.382,6.432,2.47,8.713,3.376,117.775,290.749,2.111,103.045,0.0,0.681
19890203,6.728,6.165,2.139,7.516,2.63,102.695,309.803,1.434,103.056,0.011,0.592
19890204,6.615,6.006,2.005,7.467,2.604,101.27,298.578,1.848,102.917,0.002,0.642
19890205,6.349,5.887,1.688,6.996,2.159,104.052,294.897,1.512,102.893,0.004,0.723
19890206,6.484,6.236,1.903,6.831,2.625,125.169,286.79,1.43,103.215,0.001,0.718
19890207,7.431,6.328,2.338,8.848,3.015,128.245,284.492,2.805,103.044,0.0,0.871
19890208,7.531,6.122,3.343,9.343,4.002,131.205,284.231,3.016,102.633,0.0,0.812
19890209,7.597,6.268,2.223,9.307,3.291,132.785,284.507,2.681,102.216,0.0,0.852
19890210,6.733,5.246,2.052,8.645,2.755,128.79,288.549,2.401,102.726,0.0,1.503
19890211,6.275,5.059,1.933,7.839,3.263,135.928,278.754,2.248,103.464,0.0,0.989
19890212,7.515,6.78,1.109,8.384,2.639,128.4,289.914,2.118,103.511,0.051,0.686
19890213,8.012,7.133,1.929,9.051,2.526,117.941,303.453,2.202,102.665,0.115,0.706
19890214,5.694,5.526,1.172,5.893,1.63,63.478,302.137,2.573,101.795,0.394,1.666
19890215,7.192,6.235,1.117,8.323,2.443,148.172,264.623,4.352,102.109,0.0,1.003
19890216,6.984,5.953,2.372,8.202,2.957,139.192,278.058,3.668,101.855,0.0,0.924
19890217,7.223,5.991,2.166,8.68,2.891,113.577,303.541,2.902,101.872,0.0,0.998
19890218,8.302,7.485,2.094,9.268,2.403,116.443,309.973,2.064,102.325,0.021,0.741
19890219,7.623,6.964,1.78,8.402,2.418,134.561,311.685,1.328,102.831,0.013,0.596
19890220,8.016,7.704,2.543,8.384,2.371,75.264,338.121,1.151,102.787,0.09,0.86
19890221,10.02,9.584,1.087,10.535,1.138,75.918,342.386,1.631,102.243,0.12,1.265
19890222,9.787,9.293,1.102,10.371,1.606,77.728,343.543,1.68,101.898,1.02,1.235
19890223,10.639,10.381,0.55,10.944,0.626,64.336,357.969,1.358,101.333,6.954,1.194
19890224,11.503,10.994,0.4,12.104,0.387,42.308,351.386,1.876,100.033,15.365,3.035
19890225,10.656,10.502,0.331,10.837,0.3,71.539,343.469,2.611,98.471,25.176,3.506
19890226,10.746,10.728,0.567,10.766,0.48,137.329,312.96,4.02,97.595,3.872,5.658
19890227,10.498,10.303,1.29,10.729,0.782,152.59,295.729,4.483,98.733,0.733,4.452
19890228,11.447,11.231,0.87,11.703,0.422,115.65,309.842,4.439,99.581,2.126,5.277
19890301,10.702,10.567,1.303,10.848,0.549,60.104,327.33,2.691,100.148,3.872,2.795
19890302,10.031,9.203,1.748,10.93,1.197,168.662,296.878,2.939,101.22,0.637,1.648
19890303,10.86,10.19,0.746,11.53,0.573,71.954,342.649,1.799,100.569,6.836,2.16
19890304,10.215,9.286,2.254,11.143,2.634,178.775,297.309,2.461,101.168,0.003,0.7
19890305,10.204,9.116,1.504,11.291,3.046,187.522,287.329,3.056,102.093,0.0,0.829
19890306,9.877,8.856,1.829,10.899,3.058,188.764,290.564,2.712,102.09,0.0,0.85
19890307,9.353,7.915,1.94,10.791,3.039,193.955,285.96,3.069,101.968,0.0,1.015
19890308,9.262,8.421,1.099,10.102,1.8,101.905,316.214,1.891,101.374,0.486,1.312
19890309,10.309,9.123,1.74,11.494,2.064,168.37,312.01,3.36,101.583,0.168,1.636
19890310,10.041,8.686,1.8,11.396,2.974,187.924,294.611,2.98,102.101,0.0,1.075
19890311,10.829,9.829,0.775,11.83,2.227,199.361,297.1,2.762,102.14,0.0,0.756
19890312,10.537,9.704,0.75,11.37,1.779,200.281,297.984,1.928,101.975,0.0,0.977
19890313,10.031,9.5,0.75,10.562,1.284,153.864,322.707,1.766,101.428,0.047,0.877
19890314,9.354,8.502,1.091,10.207,1.784,97.232,328.166,1.945,101.264,0.574,1.134
19890315,8.9,7.74,2.427,10.06,2.507,168.592,311.295,2.4,101.102,0.01,0.882
19890316,9.891,8.897,1.753,10.886,2.055,170.036,320.288,1.868,100.838,0.129,1.39
19890317,11.42,10.842,2.029,11.999,1.479,107.376,358.723,1.955,100.797,1.204,1.964
19890318,12.323,12.155,0.784,12.492,0.724,87.521,366.366,1.33,101.094,3.669,1.161
19890319,12.253,11.236,1.705,13.269,2.355,208.95,330.247,2.495,101.185,0.644,1.155
19890320,12.758,11.829,1.718,13.612,2.159,208.189,328.507,3.313,100.58,6.4,1.841
19890321,11.666,11.303,1.256,12.0,1.42,156.244,332.664,1.858,100.267,4.297,1.048
19890322,12.523,11.136,1.544,13.799,2.097,226.718,302.648,4.169,101.171,0.0,1.036
19890323,11.56,10.571,2.023,12.469,3.013,226.357,305.307,3.801,101.156,0.076,1.03
19890324,11.365,10.973,1.476,11.727,2.161,237.661,285.76,5.475,101.406,0.0,1.989
19890325,10.789,9.652,2.069,11.835,3.232,235.717,297.512,3.29,101.309,0.0,0.781
19890326,12.787,11.268,1.464,14.073,3.426,237.975,305.113,3.137,101.655,0.0,0.581
19890327,12.372,10.973,2.415,13.555,3.239,235.72,306.798,2.834,101.914,0.006,0.6
19890328,13.037,11.438,2.652,14.391,3.475,243.276,301.098,3.903,101.937,0.0,0.914
19890329,13.362,11.725,2.374,14.748,3.334,244.367,299.381,4.504,102.096,0.0,0.712
19890330,13.972,12.478,2.108,15.236,3.363,249.543,304.757,4.453,102.178,0.0,0.733
19890331,13.749,12.558,2.572,14.756,2.989,225.739,312.946,4.845,101.899,0.22,1.38
19890401,13.065,12.809,0.484,13.281,0.525,129.304,349.042,2.546,101.19,2.446,1.819
19890402,13.255,12.445,0.927,13.941,1.359,183.913,340.872,2.714,100.652,2.854,2.142
19890403,12.613,11.983,1.229,13.145,1.196,117.27,350.619,2.336,100.169,18.422,2.723
19890404,13.377,12.782,0.711,13.881,1.051,105.153,357.162,1.804,99.678,28.813,2.187
19890405,11.325,10.748,0.862,11.774,1.28,177.115,326.459,3.334,99.976,14.309,2.823
19890406,10.243,10.324,1.476,10.18,1.712,155.841,320.931,3.218,100.757,9.677,2.067
19890407,12.516,11.902,1.43,12.993,1.904,197.487,325.355,3.91,101.565,0.506,1.345
19890408,12.687,12.011,0.659,13.213,1.258,170.546,341.823,2.739,101.609,0.467,2.31
19890409,13.675,13.064,1.312,14.151,1.697,182.072,342.558,2.977,101.464,0.133,1.284
19890410,14.896,13.54,2.909,15.951,3.315,250.487,321.353,5.25,100.999,0.0,1.244
19890411,14.791,13.68,1.101,15.655,2.189,195.487,346.106,3.693,100.761,1.97,1.373
19890412,13.678,13.268,0.614,13.997,1.188,155.811,351.735,2.146,100.352,6.24,1.633
19890413,11.102,11.12,1.067,11.088,0.767,114.801,350.784,2.16,99.186,20.691,2.702
19890414,10.561,9.767,0.68,11.179,1.768,203.627,322.592,2.551,99.788,7.903,1.479
19890415,12.051,10.593,1.916,13.185,2.327,250.737,304.808,2.814,100.554,0.028,1.202
19890416,12.58,11.717,0.945,13.251,1.74,236.129,328.603,3.216,100.689,8.217,1.461
19890417,11.416,11.288,0.607,11.516,0.87,170.307,329.222,3.315,100.355,9.733,3.664
19890418,11.658,10.941,0.893,12.216,1.642,188.869,332.176,3.426,100.934,2.849,1.289
19890419,11.75,10.6,1.794,12.572,2.132,217.481,320.06,2.406,101.383,0.748,1.396
19890420,12.716,11.706,1.2,13.438,2.391,225.576,335.496,3.049,101.464,0.192,1.294
19890421,12.033,11.766,0.521,12.224,0.667,74.272,362.23,1.705,101.027,16.544,1.493
19890422,11.815,11.011,0.774,12.389,0.698,230.461,317.902,4.073,100.965,1.831,3.308
19890423,11.32,10.443,1.203,11.894,2.399,257.259,303.773,4.068,101.221,1.46,1.013
19890424,12.698,11.358,1.666,13.576,2.898,299.206,297.371,4.079,101.444,0.0,0.787
19890425,12.961,11.935,1.388,13.633,2.273,171.261,340.623,3.758,100.964,2.276,1.852
19890426,13.005,11.869,0.685,13.749,0.884,140.522,358.282,1.919,100.256,9.86,1.625
19890427,12.215,11.716,0.634,12.542,1.132,157.85,358.892,2.29,100.271,8.16,1.256
19890428,11.147,9.842,0.476,12.002,1.019,212.168,332.61,3.62,100.209,11.214,1.894
19890429,11.841,10.859,1.707,12.485,1.693,139.265,341.297,3.179,100.523,8.552,1.382
19890430,13.414,12.416,0.968,14.068,2.425,267.148,308.679,5.053,100.799,0.008,1.155
19890501,14.547,14.026,1.437,14.889,2.261,200.907,328.497,4.13,101.111,0.004,0.53
19890502,14.155,12.823,0.796,15.027,1.964,283.661,320.001,3.669,101.372,0.0,0.915
19890503,15.759,14.479,2.055,16.597,2.669,281.978,318.773,5.884,101.519,0.016,0.912
19890504,16.919,15.425,1.632,17.899,2.379,271.797,323.991,7.63,101.686,0.0,1.261
19890505,15.928,14.577,1.021,16.814,2.701,287.317,325.807,5.452,101.919,0.0,1.003
19890506,15.636,14.797,0.868,16.186,2.193,305.443,319.413,4.488,101.528,0.0,0.888
19890507,15.846,13.868,1.556,17.142,2.035,296.594,313.436,7.925,101.249,0.0,1.893
19890508,14.02,11.697,2.066,15.541,3.466,317.83,298.923,5.929,101.551,0.0,1.093
19890509,14.511,13.055,1.799,15.465,2.664,310.88,307.118,4.314,101.634,0.0,1.271
19890510,14.718,13.278,2.277,15.661,2.504,293.873,323.677,3.861,101.591,0.005,1.545
19890511,14.938,13.37,2.228,15.965,2.383,281.103,333.232,3.763,101.298,0.018,1.389
19890512,16.326,14.949,1.557,17.229,1.974,218.899,362.479,2.992,100.879,1.397,1.192
19890513,16.506,15.601,1.244,17.1,1.869,302.645,330.433,2.667,100.775,0.001,0.933
19890514,16.806,15.571,0.624,17.614,1.656,284.548,339.107,3.942,101.281,0.013,1.15
19890515,14.161,13.808,0.973,14.373,0.772,147.054,346.503,4.128,101.776,6.263,1.812
19890516,15.385,14.229,1.869,16.018,1.947,212.526,343.144,4.899,101.911,0.455,1.194
19890517,15.89,15.211,1.405,16.262,1.804,242.496,337.63,3.924,101.776,0.587,1.036
19890518,16.793,15.508,1.43,17.498,2.089,247.862,341.964,3.722,101.719,1.301,0.953
19890519,16.68,15.291,1.383,17.441,1.911,246.262,342.743,3.584,101.765,0.328,0.771
19890520,17.489,16.187,0.578,18.203,1.945,278.763,340.217,3.789,101.716,0.008,0.693
19890521,18.001,16.633,1.01,18.752,2.342,285.129,343.014,3.712,101.546,0.073,0.704
19890522,19.603,17.27,1.892,20.882,3.337,282.547,347.052,6.762,101.524,0.011,1.102
19890523,18.917,17.088,1.531,19.92,1.991,314.814,330.738,8.586,101.736,0.0,2.067
19890524,17.953,15.481,2.587,19.309,3.187,324.516,320.145,8.526,101.855,0.0,1.965
19890525,18.019,15.925,2.339,19.168,3.298,313.521,326.722,7.59,101.884,0.0,1.35
19890526,18.806,17.383,1.947,19.586,3.106,313.107,327.087,8.027,101.81,0.0,1.126
19890527,18.918,17.59,1.06,19.647,2.741,311.939,335.424,6.559,101.734,0.005,0.853
19890528,19.247,17.507,0.91,20.201,2.209,293.649,338.187,5.656,101.636,0.411,0.693
19890529,18.467,17.212,1.396,19.156,2.25,305.513,333.774,4.304,101.566,0.008,1.047
19890530,17.714,15.934,1.405,18.69,2.351,249.46,346.322,5.809,101.204,2.137,1.744
19890531,16.774,16.66,0.763,16.836,1.687,102.666,386.187,2.938,100.65,22.287,1.5
19890601,17.239,16.675,0.24,17.548,0.611,178.596,381.843,1.87,100.69,11.389,0.877
19890602,18.197,17.183,0.924,18.754,1.066,250.226,353.801,4.808,100.629,2.51,2.125
19890603,17.53,16.489,0.536,18.1,0.601,230.576,345.059,5.022,100.785,2.743,2.3
19890604,16.855,15.752,0.943,17.46,1.428,292.018,330.267,6.228,100.874,0.215,2.27
