TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-1.071,-1.175,0.818,-0.897,0.674,82.634,213.426,3.781,79.245,0.0,0.33
19890102,-3.311,-3.63,1.761,-2.781,0.651,82.934,206.992,3.137,79.21,0.0,0.571
19890103,-5.595,-5.313,1.082,-6.063,1.88,80.749,207.105,2.41,79.496,0.0,0.513
19890104,-4.799,-5.495,1.209,-3.64,1.252,83.869,205.998,2.829,79.466,0.0,0.246
19890105,-7.119,-7.817,1.075,-5.954,1.42,60.966,232.03,1.824,78.881,0.196,1.211
19890106,-5.735,-6.687,2.631,-4.149,1.575,64.973,257.977,1.506,78.104,0.794,0.651
19890107,-3.345,-3.417,0.76,-3.226,1.213,68.596,260.729,1.65,78.231,0.209,2.016
19890108,-3.907,-4.915,1.188,-2.226,2.491,73.244,249.503,1.542,78.656,0.004,1.052
19890109,0.688,-0.38,2.688,2.468,0.568,85.267,234.768,3.839,78.772,0.0,0.549
19890110,-0.571,-0.823,0.753,-0.151,1.09,85.81,237.0,2.92,78.611,0.0,0.341
19890111,-1.57,-1.869,0.363,-1.071,0.874,75.809,241.781,2.404,78.655,0.011,0.55
19890112,-1.935,-2.296,0.884,-1.334,1.773,74.234,243.355,2.159,78.858,0.071,0.547
19890113,-3.483,-4.458,2.156,-1.995,1.879,80.093,243.261,1.716,79.354,0.083,0.632
19890114,-1.378,-1.935,0.671,-0.527,1.383,84.102,232.071,3.254,79.628,0.0,1.085
19890115,-1.984,-2.602,1.538,-1.041,1.642,94.582,216.728,2.949,79.778,0.0,0.491
19890116,-0.478,-0.98,1.362,0.288,0.665,90.213,225.751,3.81,79.654,0.0,0.226
19890117,-2.281,-2.784,0.774,-1.513,1.429,89.861,224.831,3.136,79.318,0.0,0.491
19890118,-2.184,-2.668,1.045,-1.445,1.478,90.712,226.806,3.012,79.172,0.0,0.57
19890119,-2.419,-2.735,0.868,-1.935,0.785,97.7,212.472,2.938,79.259,0.0,0.684
19890120,-3.548,-3.799,1.04,-3.165,0.695,96.963,212.705,2.631,79.083,0.0,0.853
19890121,-4.476,-4.89,0.714,-3.844,1.219,94.149,221.752,1.857,78.64,0.071,0.759
19890122,-5.022,-5.529,1.28,-4.248,1.037,62.925,248.133,1.541,78.282,2.159,0.899
19890123,-5.75,-7.214,2.652,-3.515,2.773,104.236,206.723,2.129,78.957,0.001,0.442
19890124,-4.615,-5.126,0.344,-3.834,1.493,106.453,201.592,2.49,78.955,0.0,0.541
19890125,-4.038,-4.514,0.348,-3.311,1.127,106.573,207.227,2.56,78.991,0.0,0.532
19890126,-3.998,-4.487,0.937,-3.252,1.418,108.944,205.53,2.675,79.008,0.0,0.384
19890127,-3.388,-3.642,0.724,-2.999,1.609,109.589,212.222,2.92,79.418,0.0,0.547
19890128,-2.054,-2.337,0.559,-1.623,1.675,111.65,213.548,3.238,79.565,0.0,0.416
19890129,-1.476,-2.414,1.311,-0.043,2.14,113.664,213.31,3.422,79.678,0.0,0.239
19890130,-1.68,-2.042,1.111,-1.127,2.127,115.879,210.567,3.424,79.816,0.0,0.409
19890131,0.318,-0.096,0.506,0.95,0.686,116.798,217.016,4.151,79.937,0.0,0.696
19890201,0.027,-0.52,1.26,0.793,0.992,118.523,216.066,3.774,79.743,0.0,0.685
19890202,-1.35,-2.093,1.248,-0.309,1.097,119.076,217.168,3.075,79.385,0.0,0.672
19890203,-3.139,-3.945,0.448,-2.103,1.64,119.656,218.587,2.333,79.162,0.0,0.335
19890204,-3.65,-4.086,0.601,-3.09,1.632,118.678,221.63,2.242,78.969,0.0,0.474
19890205,-4.348,-4.999,1.089,-3.511,1.711,123.99,214.285,2.02,79.057,0.0,1.247
19890206,-2.299,-3.39,1.391,-0.897,2.475,124.132,225.282,2.294,79.457,0.0,0.399
19890207,-0.87,-1.579,0.383,0.043,1.833,127.198,226.088,2.791,79.451,0.0,0.53
19890208,-0.077,-1.085,0.34,1.218,1.496,129.569,224.995,2.995,79.169,0.0,0.663
19890209,-0.637,-1.58,1.343,0.576,1.169,131.678,221.493,2.547,78.761,0.0,1.077
19890210,-2.66,-3.716,0.647,-1.304,1.761,132.434,215.534,1.934,78.956,0.001,0.793
19890211,-1.644,-3.033,1.199,0.142,1.929,138.128,213.096,2.9,79.594,0.0,0.56
19890212,-2.525,-3.625,0.92,-1.111,1.988,132.809,219.754,2.644,79.633,0.029,1.593
19890213,-2.245,-3.47,0.539,-0.671,1.546,129.62,237.241,2.371,79.075,0.308,2.179
19890214,-4.127,-4.283,1.124,-3.927,0.559,93.788,255.402,1.898,78.301,4.034,2.384
19890215,-3.729,-4.717,1.67,-2.458,2.294,136.517,228.797,2.249,78.516,0.082,2.234
19890216,-1.525,-2.485,1.097,-0.291,0.996,109.011,258.631,2.489,78.19,0.781,1.766
19890217,-1.69,-2.275,1.27,-0.937,1.974,124.771,246.962,2.129,78.226,0.033,0.808
19890218,-0.494,-1.09,1.775,0.272,1.498,92.696,264.991,1.989,78.696,1.416,1.475
19890219,1.337,0.481,1.546,2.438,1.163,134.867,260.683,1.989,79.334,0.041,1.71
19890220,1.116,-0.134,2.684,2.722,1.304,145.787,251.715,2.431,79.181,0.003,0.866
19890221,2.097,1.697,0.415,2.571,0.282,108.263,283.594,1.973,78.577,0.898,0.769
19890222,0.489,0.147,0.695,0.894,0.967,107.646,281.605,1.528,78.223,0.899,0.911
19890223,-0.139,-0.462,0.276,0.212,0.395,99.633,282.47,1.572,77.66,3.077,1.627
19890224,-0.511,-0.343,0.353,-0.694,0.348,60.787,292.839,1.512,76.412,17.876,2.022
19890225,-1.414,-1.606,0.397,-1.205,0.246,107.022,281.018,1.702,75.165,10.255,2.014
19890226,-4.488,-4.815,1.354,-4.131,0.757,149.345,224.292,2.023,74.657,1.802,1.713
19890227,-6.382,-6.572,1.171,-6.175,1.484,132.283,230.708,1.66,75.568,3.147,1.677
19890228,-5.304,-5.666,0.612,-4.91,1.09,121.501,246.559,1.683,76.164,4.117,1.011
19890301,-5.797,-6.73,1.084,-4.782,1.557,179.36,213.986,1.711,76.853,0.306,1.579
19890302,-4.708,-5.603,2.424,-3.735,3.003,151.039,245.179,1.948,77.678,1.413,0.931
19890303,-2.428,-2.83,0.462,-1.991,0.736,139.612,265.244,1.701,77.236,8.421,1.363
19890304,-1.791,-2.971,0.872,-0.509,1.361,189.625,226.529,2.175,78.149,0.443,1.935
19890305,-0.29,-2.19,1.563,1.776,2.291,189.686,229.432,3.43,78.695,0.0,0.423
19890306,0.574,-0.944,1.104,2.224,2.502,192.116,233.493,3.16,78.703,0.0,0.449
19890307,0.012,-1.044,1.242,1.159,2.055,168.282,249.986,2.259,78.552,0.424,0.592
19890308,-1.26,-1.748,1.442,-0.729,0.931,186.892,255.39,2.044,77.983,1.0,2.171
19890309,-2.145,-3.647,1.567,-0.512,3.403,206.606,226.039,2.896,78.344,0.032,0.656
19890310,1.133,-1.066,2.172,3.333,3.218,191.999,246.504,4.083,78.777,0.0,0.532
19890311,2.546,0.739,1.096,4.353,3.156,208.656,237.489,3.662,78.995,0.0,0.998
19890312,3.487,1.977,1.462,4.996,2.744,208.343,240.051,4.606,78.804,0.0,0.696
19890313,2.708,1.496,0.769,3.919,1.868,196.419,263.669,3.652,78.244,0.729,1.208
19890314,-0.72,-1.26,1.275,-0.18,2.213,215.227,234.064,2.796,78.121,0.063,1.268
19890315,0.929,0.062,1.495,1.797,1.605,153.21,287.751,2.081,77.657,3.036,1.432
19890316,1.415,0.894,0.87,1.937,0.668,101.762,291.604,1.543,77.4,2.587,1.177
19890317,0.516,0.627,0.3,0.413,0.416,96.372,294.83,1.492,77.354,9.112,1.126
19890318,-0.533,-0.788,0.885,-0.299,0.753,181.456,267.189,1.754,77.748,0.791,1.085
19890319,-1.908,-3.154,1.855,-0.762,2.699,237.923,218.278,2.382,78.038,0.017,0.832
19890320,-1.281,-2.174,3.188,-0.459,3.157,160.888,267.066,1.82,77.641,3.251,0.652
19890321,-0.215,-0.729,0.596,0.256,0.649,190.281,268.088,2.005,77.545,2.084,2.084
19890322,1.27,-0.214,1.014,2.635,1.344,190.106,261.698,2.131,78.276,0.404,1.945
19890323,-1.267,-1.913,1.418,-0.672,1.063,213.254,248.857,1.897,78.188,0.967,1.961
19890324,-1.807,-3.55,3.06,-0.203,2.974,203.829,241.34,2.423,78.235,0.671,1.564
19890325,1.796,0.19,1.355,3.156,2.186,246.024,235.183,3.218,78.464,0.001,1.937
19890326,3.082,1.107,1.585,4.753,2.291,248.978,235.109,3.561,78.697,0.001,0.794
19890327,1.568,-0.292,2.378,3.141,3.056,235.738,256.149,2.245,78.736,0.019,0.972
19890328,2.749,1.075,2.036,4.166,2.467,226.993,263.553,2.295,78.755,0.031,0.752
19890329,3.504,0.815,3.391,5.778,3.373,248.564,247.44,3.564,78.959,0.0,0.482
19890330,3.843,2.643,1.451,4.858,2.896,253.159,257.512,2.864,79.015,0.01,0.81
19890331,2.887,2.002,1.522,3.637,1.698,207.258,268.499,2.389,78.736,0.751,1.239
19890401,2.568,2.289,0.781,2.805,0.237,135.033,289.96,1.827,77.922,4.573,1.259
19890402,2.656,1.83,0.994,3.355,1.827,240.036,259.217,2.591,77.507,0.058,1.404
19890403,1.492,1.13,0.34,1.799,0.518,123.097,294.978,1.601,77.128,17.048,1.622
19890404,0.481,0.668,0.292,0.322,0.587,67.452,304.274,1.398,76.62,26.46,1.865
19890405,0.244,0.093,0.972,0.372,0.464,97.687,287.023,1.668,76.404,20.77,0.948
19890406,-1.189,-1.655,0.71,-0.795,0.87,248.121,240.709,2.111,77.172,1.585,1.018
19890407,-0.624,-1.39,1.317,0.025,1.906,258.065,252.889,2.072,77.879,0.989,1.213
19890408,0.084,-0.449,0.4,0.535,0.484,119.614,289.506,1.504,77.954,12.269,1.333
19890409,0.176,-0.487,1.755,0.692,1.71,267.673,246.742,1.936,78.122,0.539,1.201
19890410,2.122,2.009,0.262,2.211,0.272,166.265,296.455,1.557,77.975,4.143,2.28
19890411,2.795,2.347,0.587,3.115,0.605,200.442,292.027,1.84,78.017,2.855,1.879
19890412,2.108,2.209,0.895,2.036,0.333,90.418,305.245,1.544,77.216,22.605,2.145
19890413,-0.301,0.138,0.471,-0.614,0.238,62.27,296.701,1.552,76.387,41.543,1.69
19890414,0.011,-0.395,0.154,0.302,0.605,174.455,284.11,1.833,76.985,5.87,2.026
19890415,0.814,-0.059,0.946,1.437,1.641,278.685,244.803,2.453,77.681,0.441,1.406
19890416,0.224,-0.025,0.541,0.401,0.596,210.914,261.517,1.967,77.33,15.803,1.27
19890417,-0.449,-0.876,0.301,-0.144,0.759,207.808,282.006,1.773,76.936,5.73,1.602
19890418,0.531,-0.492,0.896,1.261,1.448,269.841,263.801,2.152,77.539,0.485,1.4
19890419,-0.164,-0.8,1.389,0.29,1.921,264.642,252.812,1.918,77.849,0.296,0.701
19890420,0.752,-0.243,1.044,1.463,1.861,210.378,269.787,1.875,77.979,4.755,1.102
