TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-15.394,-15.153,5.866,-15.98,0.651,17.689,222.111,0.454,97.941,0.704,2.845
19890102,-20.993,-21.576,2.025,-19.576,1.796,24.006,188.442,0.323,99.224,0.052,2.614
19890103,-4.019,-5.337,6.015,-0.817,1.219,12.86,282.772,0.641,97.741,1.899,4.281
19890104,1.12,1.125,0.394,1.109,0.121,7.71,313.126,0.841,97.16,0.812,4.601
19890105,0.509,0.458,0.3,0.634,0.318,8.87,311.118,0.696,97.352,0.875,2.625
19890106,-0.125,-0.149,0.881,-0.069,0.281,8.771,308.05,0.573,96.773,2.273,2.764
19890107,-1.441,-1.512,0.265,-1.287,0.385,11.043,298.051,0.583,95.79,1.192,2.471
19890108,-1.6,-1.755,0.382,-1.26,0.541,13.608,297.073,0.548,96.274,0.669,1.629
19890109,-1.601,-1.125,1.009,-2.648,0.071,7.986,298.046,0.662,96.269,2.683,4.02
19890110,1.888,1.469,0.856,2.81,0.852,6.818,303.543,0.909,95.888,2.064,4.639
19890111,1.024,0.994,0.845,1.09,0.097,16.664,298.759,1.319,96.083,0.692,3.827
19890112,-2.082,-1.873,0.768,-2.543,0.432,17.131,286.266,1.021,97.63,0.344,2.674
19890113,-0.408,-0.532,0.295,-0.134,0.252,10.557,306.538,0.845,97.436,0.829,3.529
19890114,0.951,0.785,0.262,1.285,0.42,11.078,314.137,0.67,97.286,0.617,2.494
19890115,0.86,0.596,0.423,1.387,0.791,11.785,310.668,0.79,96.563,6.873,3.971
19890116,2.024,1.936,0.51,2.199,0.404,23.748,295.677,1.415,95.207,1.853,5.652
19890117,0.998,1.164,1.281,0.667,1.601,7.853,285.512,1.074,96.183,1.043,4.276
19890118,-0.284,-0.435,1.311,0.017,0.249,21.055,273.393,1.443,95.53,2.263,5.611
19890119,-5.331,-5.305,0.895,-5.382,0.165,18.473,270.223,0.886,97.04,0.532,4.288
19890120,-2.127,-2.666,4.171,-1.05,1.92,9.059,302.666,0.556,97.86,1.012,3.518
19890121,1.719,1.695,0.401,1.767,0.092,10.844,316.969,0.765,97.858,0.679,3.111
19890122,-0.031,0.057,0.384,-0.209,0.362,10.022,310.665,0.643,97.51,3.279,3.526
19890123,-0.606,-0.569,1.068,-0.681,0.854,28.302,287.557,1.008,96.948,3.348,4.777
19890124,-2.452,-2.784,0.778,-1.789,0.574,16.122,274.915,0.963,97.765,0.429,3.494
19890125,-7.258,-6.979,2.717,-7.818,2.049,27.236,262.333,0.555,98.615,0.781,2.14
19890126,0.655,0.374,0.762,1.219,0.157,20.235,314.715,0.56,98.591,0.507,2.483
19890127,0.724,0.556,0.47,1.06,0.306,15.291,310.776,0.855,98.717,0.489,3.263
19890128,1.337,1.018,0.243,1.917,0.711,29.564,286.119,1.193,98.824,0.172,3.564
19890129,1.444,0.894,0.557,2.446,0.659,17.974,284.927,1.214,98.273,0.083,4.031
19890130,1.462,1.201,1.142,1.897,0.831,14.86,291.46,1.202,97.037,1.527,5.705
19890131,-0.622,-0.619,1.082,-0.626,0.157,30.911,268.507,1.584,96.967,0.702,5.652
19890201,-1.936,-1.637,2.038,-2.433,1.687,24.624,289.913,0.81,98.298,0.314,2.921
19890202,1.357,1.43,0.279,1.236,0.184,17.485,311.477,0.799,97.775,0.39,3.782
19890203,1.636,1.744,0.413,1.455,0.457,15.997,310.399,1.207,97.136,1.092,4.888
19890204,2.467,2.279,0.532,2.78,0.319,18.5,310.122,1.043,97.625,0.527,4.439
19890205,1.42,1.45,0.528,1.369,0.97,47.859,280.28,1.473,97.051,0.244,4.797
19890206,1.577,1.14,0.184,2.305,0.611,48.172,289.527,1.445,96.698,1.056,4.224
19890207,3.979,3.392,1.929,4.958,0.486,8.998,334.007,0.886,96.634,1.332,5.595
19890208,4.139,3.836,1.154,4.644,0.193,33.509,311.224,1.417,96.948,3.0,4.705
19890209,-0.493,-0.764,2.32,-0.042,0.488,47.408,279.605,1.264,98.484,0.83,3.976
19890210,-6.03,-6.531,1.749,-5.194,3.391,64.892,230.495,0.829,100.122,0.027,2.129
19890211,-4.705,-5.556,2.147,-3.407,2.785,70.187,224.7,1.091,99.318,0.051,2.738
19890212,-0.871,-1.215,1.107,-0.347,0.552,23.981,305.858,0.729,97.896,0.853,2.313
19890213,0.167,0.095,0.671,0.268,0.818,25.997,300.781,0.715,97.139,1.298,3.154
19890214,-2.795,-3.56,3.103,-1.725,1.398,62.495,253.608,0.856,97.523,0.057,1.538
19890215,-4.492,-4.965,2.911,-3.83,1.698,50.838,268.096,0.689,97.623,0.057,2.967
19890216,-0.737,-1.039,0.484,-0.314,0.472,23.45,302.08,0.823,96.315,3.863,5.079
19890217,-1.046,-1.052,0.893,-1.037,0.517,42.363,278.714,0.956,96.366,0.592,3.081
19890218,-4.423,-5.84,2.345,-2.44,1.635,48.789,250.444,0.752,97.7,0.297,2.024
19890219,-9.026,-10.048,3.702,-7.597,3.579,77.009,229.98,0.46,98.308,0.007,2.03
19890220,-2.21,-2.412,3.579,-1.928,2.152,27.553,298.187,0.673,96.197,7.299,3.364
19890221,0.744,0.71,0.488,0.791,0.182,57.667,297.712,1.039,96.092,0.649,2.986
19890222,-0.275,-0.815,0.911,0.481,1.15,46.244,276.151,1.451,96.594,0.411,3.721
19890223,-0.547,-1.022,0.709,0.117,1.28,74.234,280.027,1.627,96.951,0.173,3.512
19890224,1.409,0.673,0.889,2.356,0.886,37.016,308.56,1.057,96.315,2.429,3.781
19890225,0.969,0.886,0.619,1.067,0.411,22.744,317.992,0.472,96.109,3.249,2.353
19890226,1.941,1.781,0.789,2.129,0.522,31.311,326.84,0.448,95.666,0.269,3.425
19890227,4.487,3.517,0.754,5.633,1.372,93.516,283.987,2.273,95.16,0.817,5.832
19890228,2.412,2.031,0.99,2.863,0.584,57.471,306.347,1.228,95.216,2.892,3.938
19890301,1.461,1.044,1.261,1.952,1.506,95.399,283.991,0.928,96.051,3.295,2.462
19890302,1.559,1.662,0.433,1.437,0.144,36.479,301.386,0.716,97.231,2.154,3.908
19890303,1.836,1.47,0.743,2.268,0.463,42.461,318.668,0.782,97.47,3.565,3.807
19890304,0.979,0.591,0.217,1.437,0.471,48.951,312.548,0.688,97.631,3.363,2.23
19890305,0.433,0.021,0.594,0.921,0.761,57.038,296.55,0.726,98.539,0.194,1.016
19890306,0.29,-0.217,0.57,0.888,0.872,70.263,288.653,1.049,98.602,0.579,1.791
19890307,-0.479,-0.534,0.286,-0.414,0.344,54.816,299.932,0.862,99.037,0.247,2.741
19890308,-0.574,-0.576,0.581,-0.571,0.578,31.912,301.683,0.98,98.285,2.844,3.519
19890309,0.622,0.28,0.431,0.994,0.667,44.567,314.909,0.896,98.103,2.129,2.259
19890310,1.279,1.041,0.856,1.516,0.895,52.353,310.829,0.958,98.747,0.32,2.327
19890311,2.091,1.3,0.657,2.882,1.403,85.159,296.269,1.313,99.433,0.037,2.507
19890312,1.922,1.17,0.805,2.675,1.597,67.472,303.388,1.194,98.734,0.072,2.401
19890313,2.777,1.765,1.762,3.79,2.94,94.378,289.95,1.937,98.027,0.007,1.562
19890314,2.806,1.374,2.12,4.239,2.962,114.848,279.519,1.981,97.191,0.48,2.88
19890315,1.79,1.494,0.456,2.085,0.847,88.334,290.332,1.229,96.718,0.824,2.838
19890316,2.76,1.68,1.201,3.839,2.339,92.258,288.415,1.851,96.461,1.795,4.065
19890317,2.847,2.341,0.433,3.352,1.005,69.688,311.719,1.224,96.18,2.346,3.117
19890318,2.782,2.375,1.27,3.19,0.439,56.088,318.315,0.787,96.321,2.783,2.528
19890319,0.86,0.068,2.642,1.651,2.736,137.06,253.59,1.783,97.17,0.137,3.92
19890320,1.518,0.333,1.728,2.609,0.822,99.217,286.681,1.407,96.953,1.984,3.811
19890321,2.304,0.023,3.885,4.403,3.646,113.404,281.272,2.121,97.524,0.0,2.324
19890322,3.622,2.6,0.797,4.562,0.864,27.039,307.168,1.296,96.724,3.585,3.96
19890323,3.086,2.355,3.397,3.758,2.327,89.201,285.722,2.102,96.773,0.107,3.903
19890324,3.614,3.242,1.968,3.929,0.635,115.657,284.918,2.338,96.602,0.147,3.125
19890325,1.2,0.909,1.178,1.445,0.722,57.082,287.383,1.33,95.729,2.098,4.079
19890326,2.556,1.819,0.538,3.18,0.994,110.901,296.819,0.942,95.412,2.226,2.466
19890327,1.897,1.672,0.314,2.088,0.508,92.405,295.918,0.9,96.762,1.73,3.561
19890328,0.73,-0.513,1.182,1.782,1.579,151.144,260.979,1.927,97.503,0.885,3.514
19890329,-0.562,-1.487,2.608,0.221,1.938,90.889,261.52,1.205,96.85,4.543,3.078
19890330,0.853,-0.118,0.836,1.674,1.878,174.681,237.272,2.267,96.458,0.635,4.123
19890331,0.272,-1.594,1.982,1.724,3.198,166.483,245.129,2.52,97.001,0.004,1.997
19890401,-0.555,-1.867,1.587,0.466,1.753,110.767,275.459,1.855,96.844,2.102,3.042
19890402,-1.232,-1.544,0.606,-0.99,0.339,55.515,293.923,1.109,95.854,6.622,6.249
19890403,-1.908,-2.697,0.55,-1.295,0.587,117.923,278.772,1.05,96.302,1.454,3.909
19890404,-0.306,-1.788,1.661,0.845,1.962,126.575,277.442,1.742,97.828,0.821,2.652
19890405,-0.24,-2.466,3.271,1.491,4.118,212.772,225.343,2.658,98.798,0.0,1.529
19890406,2.83,0.734,2.138,4.46,3.821,211.352,236.565,3.495,98.542,0.0,1.683
19890407,2.594,0.629,1.686,4.122,3.276,214.045,236.088,3.545,98.467,0.0,3.455
19890408,3.819,1.476,2.245,5.493,3.565,134.777,276.626,3.598,98.073,0.0,2.492
19890409,5.946,3.462,1.728,7.72,3.476,186.824,279.267,3.629,98.117,0.062,2.016
19890410,6.396,4.251,2.894,7.929,3.19,155.977,287.138,2.907,98.156,1.927,2.67
19890411,9.31,7.646,1.764,10.499,2.846,115.313,335.001,2.611,98.307,0.448,1.643
19890412,12.597,10.227,2.51,14.149,4.717,127.618,326.914,5.022,98.287,0.19,2.674
19890413,13.019,9.992,1.579,15.001,4.421,212.942,292.319,6.115,98.376,0.0,2.03
19890414,10.714,7.473,1.419,12.837,3.902,177.137,315.696,4.416,98.175,1.071,2.194
19890415,3.009,3.09,1.585,2.956,0.397,109.99,307.457,1.952,98.132,1.107,4.267
19890416,1.306,1.426,1.501,1.228,1.434,68.221,314.148,0.808,97.256,6.621,2.936
19890417,6.53,6.525,0.836,6.534,0.669,29.277,345.625,0.595,97.14,3.397,3.2
19890418,8.306,7.701,0.71,8.702,1.539,85.189,347.819,1.556,98.026,0.211,3.383
19890419,9.562,7.905,1.946,10.648,2.879,97.457,337.255,2.83,97.843,0.643,3.452
19890420,6.122,6.31,1.226,5.999,0.705,35.705,336.953,1.035,97.778,1.892,2.258
19890421,8.281,6.467,2.27,9.47,3.444,213.706,301.452,4.066,97.993,0.147,2.337
19890422,9.52,7.781,2.162,10.564,2.958,157.545,316.732,2.543,97.628,4.004,1.702
19890423,12.496,10.891,0.883,13.459,2.626,121.885,348.66,2.92,96.821,3.042,3.614
19890424,8.707,8.478,1.938,8.832,1.519,128.619,316.532,3.071,97.428,0.079,2.024
19890425,8.302,5.404,3.498,9.89,4.606,229.367,271.599,4.838,98.323,0.0,2.174
19890426,10.545,8.691,3.73,11.562,3.641,131.14,309.689,4.484,98.046,0.388,3.938
19890427,14.09,12.323,1.956,15.059,2.788,131.237,332.322,5.393,97.808,0.009,3.517
19890428,14.5,12.469,2.2,15.614,3.154,131.413,333.679,5.064,98.166,0.082,3.072
19890429,16.232,13.206,2.885,17.892,4.056,225.604,319.176,7.211,97.958,0.0,3.358
19890430,17.018,14.168,2.068,18.581,3.952,226.314,322.216,8.605,97.715,0.0,2.996
19890501,12.799,11.544,1.219,13.487,1.397,123.701,339.587,3.364,97.734,0.446,2.921
19890502,10.993,9.096,2.055,12.034,3.51,195.937,315.706,4.486,97.566,0.374,3.536
