TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-15.875,-15.632,5.912,-16.465,0.656,17.487,217.811,0.262,98.648,0.659,2.02
19890102,-21.517,-22.105,2.041,-20.089,1.81,23.731,184.579,0.121,99.87,0.049,1.856
19890103,-4.412,-5.741,6.061,-1.186,1.228,12.713,277.684,0.465,98.457,1.779,3.039
19890104,0.766,0.771,0.397,0.755,0.122,7.622,307.643,0.68,97.904,0.761,3.266
19890105,0.151,0.099,0.303,0.276,0.321,8.768,305.662,0.524,98.087,0.82,1.863
19890106,-0.489,-0.527,0.898,-0.404,0.292,8.671,302.633,0.391,97.535,2.13,1.962
19890107,-1.815,-1.886,0.267,-1.659,0.388,10.917,292.764,0.402,96.599,1.117,1.754
19890108,-1.975,-2.131,0.385,-1.632,0.545,13.452,291.799,0.363,97.059,0.627,1.156
19890109,-1.975,-1.495,1.017,-3.031,0.072,7.895,292.759,0.487,97.055,2.514,2.854
19890110,1.54,1.118,0.862,2.47,0.859,6.74,298.186,0.755,96.692,1.934,3.293
19890111,0.67,0.64,0.852,0.736,0.098,16.473,293.464,1.197,96.878,0.648,2.717
19890112,-2.46,-2.249,0.774,-2.925,0.435,16.934,281.132,0.876,98.352,0.322,1.898
19890113,-0.773,-0.899,0.297,-0.497,0.254,10.436,301.141,0.685,98.167,0.777,2.505
19890114,0.597,0.428,0.264,0.933,0.423,10.951,308.642,0.496,98.024,0.578,1.771
19890115,0.504,0.239,0.427,1.036,0.797,11.65,305.218,0.626,97.335,6.439,2.819
19890116,1.677,1.589,0.514,1.853,0.407,23.476,290.421,1.301,96.044,1.737,4.012
19890117,0.644,0.811,1.291,0.31,1.613,7.763,280.388,0.932,96.973,0.977,3.035
19890118,-0.649,-0.8,1.321,-0.345,0.251,20.813,268.426,1.332,96.351,2.121,3.983
19890119,-5.734,-5.708,0.902,-5.785,0.166,18.261,265.298,0.73,97.79,0.499,3.044
19890120,-2.506,-3.048,4.203,-1.421,1.934,8.955,297.32,0.373,98.571,0.949,2.497
19890121,1.37,1.345,0.404,1.419,0.093,10.72,311.437,0.598,98.569,0.636,2.208
19890122,-0.394,-0.304,0.387,-0.572,0.365,9.907,305.215,0.467,98.237,3.072,2.503
19890123,-0.973,-0.935,1.077,-1.048,0.86,27.978,282.407,0.861,97.702,3.137,3.391
19890124,-2.834,-3.168,0.784,-2.165,0.578,15.937,269.929,0.812,98.48,0.402,2.48
19890125,-7.677,-7.395,2.738,-8.241,2.065,26.924,257.51,0.371,99.29,0.732,1.519
19890126,0.298,0.015,0.768,0.866,0.158,20.004,309.212,0.377,99.267,0.475,1.762
19890127,0.367,0.198,0.473,0.706,0.308,15.116,305.324,0.695,99.388,0.458,2.316
19890128,0.985,0.664,0.245,1.57,0.716,29.225,280.987,1.061,99.489,0.161,2.53
19890129,1.093,0.539,0.561,2.103,0.664,17.768,279.811,1.084,98.965,0.077,2.861
19890130,1.111,0.848,1.151,1.549,0.838,14.69,286.259,1.071,97.787,1.43,4.05
19890131,-0.989,-0.987,1.091,-0.993,0.159,30.557,263.604,1.484,97.72,0.657,4.012
19890201,-2.313,-2.012,2.053,-2.814,1.7,24.342,284.732,0.647,98.988,0.295,2.073
19890202,1.006,1.079,0.281,0.883,0.186,17.285,306.016,0.636,98.49,0.365,2.685
19890203,1.286,1.396,0.416,1.104,0.461,15.813,304.952,1.077,97.881,1.024,3.47
19890204,2.124,1.935,0.537,2.44,0.322,18.288,304.679,0.899,98.347,0.493,3.151
19890205,1.069,1.099,0.532,1.018,0.977,47.311,275.224,1.364,97.8,0.229,3.405
19890206,1.227,0.787,0.185,1.96,0.616,47.62,284.351,1.334,97.463,0.989,2.998
19890207,3.648,3.056,1.944,4.634,0.489,8.895,328.253,0.729,97.403,1.248,3.971
19890208,3.809,3.504,1.162,4.318,0.194,33.125,305.766,1.303,97.702,2.811,3.34
19890209,-0.859,-1.132,2.338,-0.404,0.491,46.865,274.558,1.137,99.166,0.777,2.822
19890210,-6.439,-6.944,1.763,-5.596,3.417,64.148,226.086,0.674,100.726,0.026,1.511
19890211,-5.104,-5.961,2.164,-3.795,2.807,69.383,220.366,0.951,99.96,0.047,1.943
19890212,-1.24,-1.586,1.115,-0.712,0.556,23.707,300.47,0.559,98.605,0.799,1.642
19890213,-0.194,-0.267,0.676,-0.092,0.825,25.699,295.459,0.544,97.884,1.216,2.239
19890214,-3.179,-3.95,3.127,-2.1,1.409,61.779,248.899,0.696,98.25,0.054,1.092
19890215,-4.889,-5.365,2.934,-4.222,1.711,50.255,263.198,0.516,98.345,0.054,2.106
19890216,-1.105,-1.409,0.487,-0.679,0.476,23.182,296.741,0.661,97.099,3.619,3.605
19890217,-1.416,-1.422,0.9,-1.407,0.521,41.878,273.678,0.805,97.148,0.555,2.187
19890218,-4.82,-6.247,2.363,-2.821,1.648,48.23,245.776,0.585,98.418,0.279,1.436
19890219,-9.458,-10.487,3.73,-8.017,3.607,76.126,225.577,0.28,98.998,0.007,1.441
19890220,-2.59,-2.793,3.606,-2.305,2.168,27.238,292.899,0.499,96.987,6.839,2.388
19890221,0.387,0.353,0.492,0.435,0.183,57.006,292.43,0.895,96.886,0.608,2.12
19890222,-0.639,-1.183,0.918,0.122,1.159,45.715,271.149,1.34,97.365,0.385,2.641
19890223,-0.914,-1.392,0.714,-0.244,1.289,73.384,274.975,1.53,97.705,0.162,2.493
19890224,1.058,0.316,0.896,2.012,0.893,36.592,303.137,0.914,97.099,2.276,2.684
19890225,0.614,0.53,0.623,0.713,0.414,22.484,312.446,0.282,96.903,3.045,1.67
19890226,1.593,1.433,0.795,1.783,0.526,30.952,321.179,0.256,96.481,0.252,2.431
19890227,4.159,3.182,0.76,5.314,1.383,92.444,278.883,2.229,95.998,0.765,4.14
19890228,2.069,1.684,0.998,2.523,0.589,56.813,300.953,1.099,96.052,2.71,2.796
19890301,1.11,0.69,1.271,1.605,1.517,94.306,278.887,0.775,96.848,3.087,1.748
19890302,1.209,1.313,0.437,1.086,0.145,36.061,296.056,0.545,97.972,2.018,2.774
19890303,1.488,1.119,0.749,1.924,0.467,41.975,313.114,0.617,98.199,3.341,2.702
19890304,0.624,0.233,0.219,1.086,0.475,48.39,307.073,0.515,98.353,3.151,1.583
19890305,0.075,-0.341,0.598,0.566,0.767,56.384,291.283,0.557,99.218,0.182,0.721
19890306,-0.07,-0.58,0.575,0.533,0.879,69.458,283.488,0.906,99.277,0.543,1.272
19890307,-0.845,-0.901,0.288,-0.779,0.346,54.188,294.621,0.703,99.693,0.231,1.946
19890308,-0.94,-0.943,0.586,-0.937,0.583,31.547,296.349,0.831,98.975,2.665,2.498
19890309,0.265,-0.08,0.434,0.64,0.672,44.056,309.403,0.74,98.802,1.995,1.603
19890310,0.926,0.687,0.863,1.166,0.902,51.753,305.377,0.807,99.416,0.3,1.652
19890311,1.745,0.948,0.663,2.542,1.414,84.183,291.005,1.191,100.069,0.035,1.779
19890312,1.575,0.817,0.811,2.333,1.61,66.699,298.032,1.062,99.404,0.067,1.704
