TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-14.785,-13.681,3.44,-19.569,1.413,2.806,229.368,0.117,99.537,1.963,2.327
19890102,-0.679,-1.482,4.268,2.797,1.227,1.405,281.323,0.941,98.414,0.267,4.184
19890103,1.939,1.619,1.933,3.327,1.331,2.521,263.975,1.632,98.013,0.009,4.28
19890104,-0.653,-0.811,2.494,0.032,0.045,3.495,246.4,0.76,97.619,0.0,2.889
19890105,-3.601,-3.69,1.722,-3.216,1.04,2.91,259.937,0.605,96.715,0.026,3.321
19890106,0.2,-0.042,0.767,1.248,0.159,2.934,262.647,1.169,96.242,0.287,3.655
19890107,-4.045,-3.965,1.717,-4.39,0.452,1.917,274.28,0.488,96.58,0.455,2.361
19890108,-5.151,-5.073,2.474,-5.486,1.066,1.63,286.986,0.2,96.344,4.43,2.707
19890109,-0.283,-0.722,1.993,1.617,0.355,2.971,270.852,1.055,95.079,0.701,3.229
19890110,-4.002,-4.265,2.643,-3.002,0.915,5.184,257.533,0.454,95.469,1.356,2.485
19890111,-11.218,-10.951,3.653,-12.234,0.701,5.686,238.477,0.204,97.072,0.191,1.827
19890112,-5.174,-5.41,1.534,-4.275,0.371,4.109,281.404,0.184,96.644,1.557,2.531
19890113,-6.882,-6.911,0.446,-6.771,0.069,2.884,281.897,0.157,97.025,0.169,1.843
19890114,-4.544,-5.049,2.948,-2.843,1.167,1.087,286.161,0.154,96.716,9.306,2.736
19890115,-0.989,-0.8,2.29,-1.628,0.494,3.502,261.198,0.834,94.917,1.687,4.019
19890116,0.432,0.411,1.692,0.501,0.434,8.095,253.584,1.629,96.069,0.6,4.807
19890117,-1.119,-1.165,0.395,-0.965,0.467,6.002,276.17,1.066,95.354,5.704,4.47
19890118,-6.254,-6.841,4.305,-4.28,0.297,9.199,223.797,0.553,97.383,0.003,3.06
19890119,-2.806,-3.434,4.004,-0.693,1.325,7.822,273.73,0.351,97.453,2.034,3.489
19890120,-1.218,-1.658,1.017,0.102,0.281,8.223,269.167,0.695,97.575,0.192,3.026
19890121,-3.945,-3.123,2.539,-6.411,1.196,6.712,265.575,0.304,97.634,1.551,3.111
19890122,-1.473,-1.865,1.586,-0.298,0.537,9.711,259.171,1.185,96.304,0.898,4.642
19890123,-5.71,-6.265,3.902,-4.045,0.37,11.876,217.019,0.996,97.679,0.001,3.314
19890124,-7.663,-7.763,3.763,-7.36,1.006,3.864,283.649,0.176,98.422,2.539,2.112
19890125,0.897,0.406,0.934,2.221,0.767,10.914,283.474,0.78,98.237,0.666,2.997
19890126,-2.336,-2.311,1.709,-2.404,0.432,14.476,249.881,0.489,97.844,0.004,2.674
19890127,-1.795,-2.04,0.823,-1.136,0.435,12.784,251.132,1.081,97.807,0.005,3.873
19890128,1.838,1.445,0.839,2.794,0.377,9.52,276.516,1.597,96.555,0.127,4.897
19890129,1.481,1.171,0.51,2.235,0.425,12.76,251.141,2.366,96.304,0.183,5.562
19890130,-1.152,-1.187,1.257,-1.067,0.176,19.728,222.232,2.129,96.38,0.002,6.504
19890131,-3.18,-3.081,1.307,-3.419,0.571,10.005,250.919,1.087,98.267,2.263,3.666
19890201,3.017,2.56,1.558,4.127,0.118,13.904,265.688,1.914,98.068,0.0,4.079
19890202,1.319,1.178,0.844,1.661,0.745,18.715,256.943,2.045,96.876,0.006,4.788
19890203,1.488,0.784,2.369,3.197,0.653,24.231,242.741,2.462,96.013,0.001,5.53
19890204,0.533,-0.103,1.175,1.931,0.882,13.876,280.95,1.166,95.961,0.371,3.716
19890205,-1.257,-1.771,0.696,-0.126,0.615,20.568,250.753,1.139,94.946,0.021,3.67
19890206,-0.235,0.105,1.307,-0.915,0.575,9.402,257.719,1.504,95.384,0.453,4.411
19890207,-0.242,-0.576,0.805,0.427,0.594,30.578,229.085,1.83,95.971,0.0,4.906
19890208,-3.723,-5.129,4.223,-0.911,1.04,30.164,226.859,1.216,97.535,0.007,3.715
19890209,-9.947,-10.815,3.496,-8.211,2.866,23.078,239.961,0.219,99.798,0.008,1.86
19890210,-2.569,-3.197,1.405,-1.312,0.872,16.215,295.778,0.405,99.372,0.072,2.858
19890211,-4.288,-5.162,2.223,-2.538,2.092,19.119,260.091,0.431,98.425,0.283,2.129
19890212,-4.528,-5.422,1.76,-2.739,1.043,31.001,259.153,0.407,97.314,0.106,2.304
19890213,-5.46,-6.609,2.939,-3.366,2.512,41.259,219.965,0.744,96.953,0.003,3.337
19890214,-2.38,-3.161,1.77,-0.957,0.352,10.708,284.725,0.659,96.179,3.756,3.557
19890215,-4.393,-5.242,2.692,-2.978,0.533,6.692,259.87,0.495,95.106,5.168,4.602
19890216,-4.635,-4.67,0.945,-4.578,1.153,28.337,227.85,0.937,94.621,0.197,3.773
19890217,-5.234,-6.452,1.942,-3.202,1.232,47.691,216.48,1.093,96.816,0.0,3.537
19890218,-9.299,-9.053,4.749,-9.71,4.26,51.741,213.318,0.369,98.049,0.015,2.643
19890219,-2.738,-3.071,0.996,-2.184,0.254,8.801,293.44,0.278,96.118,10.048,4.313
19890220,-4.141,-5.313,1.184,-2.187,1.74,52.767,231.305,0.486,96.163,0.003,3.02
19890221,-3.786,-5.045,1.514,-1.865,2.303,56.598,227.036,0.735,96.709,0.0,3.262
19890222,-4.953,-6.839,2.765,-2.074,2.1,60.037,218.652,0.867,96.979,0.0,3.123
19890223,-7.688,-8.15,3.997,-6.984,1.723,19.958,269.753,0.167,96.298,6.526,2.7
19890224,-10.538,-10.732,3.329,-10.267,0.566,44.056,239.762,0.292,95.633,0.371,1.969
19890225,-12.046,-12.648,1.15,-11.203,1.152,42.36,250.182,0.248,96.47,0.088,2.462
19890226,-5.758,-6.029,3.282,-5.377,1.287,17.091,294.885,0.204,95.608,13.887,3.668
19890227,-0.636,-0.618,0.865,-0.661,0.266,17.256,317.178,0.238,95.161,6.005,3.172
19890228,0.002,-0.128,0.443,0.185,0.195,19.032,315.441,0.318,94.617,6.892,2.243
19890301,-0.585,-0.669,0.172,-0.466,0.179,25.322,304.027,0.423,95.458,0.714,2.66
19890302,-0.992,-1.612,1.165,-0.195,0.767,36.75,297.54,0.678,96.665,0.606,2.68
19890303,-5.91,-6.773,1.133,-4.801,2.708,75.091,236.678,0.578,97.83,0.007,1.217
19890304,-3.083,-3.863,1.414,-2.08,0.968,44.794,288.607,0.42,98.063,0.067,1.927
