TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,4.239,3.764,1.674,5.283,0.63,7.593,331.022,0.603,101.801,0.282,2.218
19890102,2.689,2.377,0.72,3.376,0.211,9.314,324.722,0.107,102.252,0.115,2.513
19890103,2.475,2.259,0.581,2.95,0.113,8.47,326.683,0.054,101.881,0.357,2.59
19890104,1.814,1.575,0.444,2.342,0.342,8.927,322.272,0.146,101.027,0.875,2.896
19890105,3.399,3.035,0.565,4.2,0.159,15.598,324.889,0.244,100.19,2.329,3.473
19890106,1.811,1.942,0.689,1.525,0.649,13.262,312.588,0.063,99.71,0.031,2.529
19890107,1.934,1.694,1.687,2.461,0.636,25.447,279.714,0.507,99.372,0.512,3.217
19890108,3.848,3.4,3.485,4.834,1.525,3.601,322.486,0.104,99.433,0.287,3.119
19890109,5.967,5.775,0.876,6.389,0.403,4.705,323.81,0.123,99.421,2.385,4.154
19890110,4.526,4.443,1.788,4.709,0.387,17.173,306.74,0.189,99.462,0.699,3.156
19890111,2.671,2.387,0.659,3.296,0.808,22.669,282.629,0.233,100.192,0.013,3.555
19890112,2.767,2.627,1.045,3.074,0.419,10.5,313.787,0.252,100.076,0.196,3.61
19890113,4.238,3.948,1.051,4.876,0.521,27.393,287.601,1.013,100.17,1.621,5.03
19890114,3.92,3.473,1.278,4.903,0.704,4.904,309.682,0.343,100.339,4.282,4.741
19890115,6.87,6.651,1.796,7.353,0.714,8.191,317.274,1.279,100.123,0.164,6.642
19890116,7.676,7.781,0.566,7.444,0.266,19.274,325.523,1.198,100.532,0.12,5.262
19890117,5.814,5.858,1.132,5.716,0.295,32.074,298.71,1.73,100.299,0.329,5.612
19890118,5.685,5.536,0.487,6.012,0.295,8.439,323.558,1.061,100.923,0.122,5.008
19890119,5.91,5.707,0.419,6.316,0.078,12.875,336.368,0.604,101.275,0.06,4.025
19890120,3.583,3.468,0.977,3.815,0.144,13.213,324.885,0.701,101.309,0.288,3.286
19890121,0.811,1.23,1.177,0.046,0.473,11.242,317.097,0.178,100.334,0.918,2.745
19890122,3.641,2.929,1.393,4.939,0.553,33.817,291.11,1.093,100.292,0.383,3.715
19890123,1.729,1.48,2.906,2.184,1.493,15.454,300.852,0.129,101.257,0.572,3.24
19890124,5.914,5.76,0.175,6.197,0.268,7.688,345.536,0.001,101.324,0.069,2.979
19890125,2.947,2.784,2.329,3.244,0.373,17.064,310.442,0.104,101.642,0.073,1.967
19890126,-0.887,-1.035,0.363,-0.618,0.261,22.583,277.797,0.011,101.402,0.034,2.096
19890127,1.729,1.037,1.28,2.991,1.413,35.704,283.87,0.4,101.647,0.0,2.736
19890128,4.467,4.036,1.995,5.252,1.425,40.041,295.866,1.215,101.282,0.831,3.909
19890129,3.148,3.109,1.435,3.221,1.415,48.179,267.348,0.851,101.705,0.0,4.137
19890130,6.722,6.517,0.803,7.098,0.424,20.577,334.703,0.967,101.222,0.004,5.387
19890131,7.415,7.204,0.686,7.8,0.161,15.393,343.324,0.614,101.818,0.007,4.054
19890201,4.327,4.277,0.76,4.417,0.187,17.374,332.255,0.48,101.875,0.255,3.357
19890202,3.751,3.485,0.267,4.193,0.303,24.884,315.456,0.998,101.339,0.158,3.882
19890203,4.208,4.023,0.692,4.515,0.393,9.848,332.82,0.456,100.812,1.098,4.619
19890204,3.919,4.025,0.243,3.742,0.093,16.577,332.345,0.202,100.442,0.525,4.92
19890205,4.363,4.068,0.513,4.856,0.398,46.327,295.506,1.17,99.535,7.786,5.974
19890206,7.02,6.285,2.266,8.246,0.809,10.715,333.789,1.229,100.008,0.617,5.81
19890207,8.42,8.374,0.5,8.489,0.328,19.911,337.548,1.836,100.415,0.24,5.762
19890208,7.103,6.955,0.927,7.33,0.192,10.339,344.468,0.767,101.101,0.273,2.86
19890209,5.467,4.994,0.601,6.191,0.577,19.777,339.578,0.314,101.657,0.271,1.912
19890210,4.07,3.47,1.371,4.986,0.513,38.531,307.85,0.964,101.645,0.042,3.518
19890211,3.189,3.048,1.273,3.405,1.486,42.522,308.371,0.472,101.67,0.163,2.651
19890212,3.675,3.004,0.535,4.698,0.699,20.13,306.352,0.362,100.707,3.254,4.314
19890213,3.312,2.494,0.506,4.562,1.158,71.204,269.197,1.421,100.506,0.069,4.073
19890214,2.857,2.32,0.92,3.676,0.548,13.825,306.931,0.974,98.944,6.634,5.016
19890215,2.797,1.851,2.362,4.239,1.076,9.352,303.529,0.184,98.855,5.097,4.455
19890216,1.447,1.005,0.267,2.064,0.467,69.868,257.149,1.352,98.568,0.57,5.444
19890217,0.286,-0.997,1.534,2.082,1.336,79.479,248.781,1.498,100.053,0.082,3.023
19890218,0.446,-0.198,3.257,1.348,1.373,48.019,290.879,0.307,99.926,5.31,3.467
19890219,7.172,6.107,1.066,8.662,0.549,32.021,319.786,1.435,99.241,0.644,5.286
19890220,3.53,2.886,0.485,4.358,0.775,44.757,289.604,0.681,99.57,4.581,4.483
19890221,2.775,1.893,0.524,3.908,1.525,74.885,271.549,0.702,100.246,1.393,3.859
19890222,1.921,1.101,0.718,2.974,1.715,65.689,273.992,0.721,100.049,0.03,3.04
19890223,2.475,1.572,0.581,3.637,0.808,25.195,298.739,0.099,98.727,5.092,3.049
19890224,1.91,0.921,0.486,3.181,1.399,64.514,274.394,0.527,98.203,0.056,3.25
19890225,4.116,3.531,0.857,4.867,0.703,41.926,320.762,0.099,96.378,1.23,3.184
19890226,4.839,4.077,0.938,5.82,1.005,51.379,308.56,0.429,95.218,3.139,2.336
19890227,3.26,2.831,0.597,3.812,0.63,52.336,306.374,0.424,95.678,1.307,2.912
19890228,3.327,2.595,0.682,4.268,0.904,69.404,299.722,0.361,96.562,2.555,2.787
19890301,2.59,1.955,1.098,3.341,0.976,57.041,306.983,0.523,97.555,3.055,2.896
19890302,3.514,3.061,0.516,4.048,0.403,43.496,317.833,0.149,98.394,2.319,1.597
19890303,2.552,2.209,0.458,2.958,0.541,46.945,313.543,0.044,99.21,0.602,1.994
19890304,3.189,3.024,0.268,3.369,0.631,51.863,320.947,0.479,100.13,0.845,1.983
19890305,5.167,4.096,0.725,6.332,1.279,33.692,329.325,0.44,100.526,0.386,2.352
19890306,5.374,4.492,1.086,6.333,1.589,59.495,320.888,0.717,101.049,0.021,1.979
19890307,5.898,3.966,0.621,7.998,2.489,118.946,279.547,1.8,100.646,0.0,3.07
19890308,2.371,1.577,1.245,3.235,0.944,96.687,279.305,0.814,100.194,0.002,2.892
19890309,3.008,2.155,1.592,3.935,1.534,48.529,312.942,0.581,100.544,2.415,1.557
19890310,6.422,5.502,1.867,7.423,1.704,93.831,323.262,1.264,100.516,1.154,3.076
19890311,5.924,5.025,2.308,6.901,0.491,21.94,322.939,0.585,100.406,3.544,2.639
19890312,2.352,1.125,0.621,3.687,1.452,74.363,296.232,0.46,100.619,0.002,1.813
19890313,4.186,3.689,2.198,4.726,1.174,21.488,320.993,0.473,98.935,6.934,4.683
19890314,4.652,3.988,0.917,5.374,0.745,115.355,286.273,2.053,98.814,1.659,5.404
19890315,3.743,3.641,0.541,3.844,0.371,43.629,326.08,0.061,97.986,9.633,3.229
19890316,3.429,2.43,1.605,4.349,1.119,96.929,301.067,0.917,97.889,2.923,3.355
19890317,2.168,0.477,0.874,3.724,1.884,110.109,279.696,1.166,98.645,1.045,1.52
19890318,2.238,0.41,2.214,3.92,3.004,127.888,258.704,1.8,99.966,0.0,2.857
19890319,4.794,4.468,1.761,5.093,1.883,49.764,323.754,0.842,99.778,1.218,4.161
19890320,6.708,5.517,0.867,7.804,1.472,62.088,326.426,1.803,99.32,0.153,2.569
19890321,3.956,2.827,0.925,4.995,1.12,106.071,312.145,1.147,98.543,9.324,2.244
19890322,3.943,3.703,2.982,4.164,1.785,100.299,302.466,0.434,98.532,11.338,4.491
19890323,3.655,3.256,1.483,4.021,0.528,128.821,276.917,1.719,98.608,2.811,6.055
19890324,3.006,2.661,0.896,3.324,0.85,29.694,313.697,0.279,97.979,15.083,5.036
19890325,5.449,4.533,0.401,6.292,1.095,137.238,286.01,2.586,98.109,4.299,7.075
19890326,5.123,3.48,0.897,6.634,1.646,170.078,263.924,2.407,100.184,0.0,3.857
19890327,7.101,4.897,1.795,8.965,2.691,123.868,304.333,2.356,100.631,0.092,2.126
19890328,9.816,7.973,3.24,11.375,3.579,162.22,305.743,3.718,99.748,1.283,3.21
19890329,6.23,4.698,0.983,7.526,1.886,135.323,286.226,2.39,100.303,0.001,3.984
19890330,5.876,5.497,2.464,6.17,1.999,62.324,326.615,0.831,100.09,0.92,2.515
19890331,7.489,6.738,1.518,8.074,0.716,67.59,340.751,0.842,99.884,0.557,2.649
19890401,2.19,0.755,1.283,3.307,2.373,160.373,267.227,2.512,100.467,0.137,3.035
19890402,-0.886,-2.124,0.705,0.077,1.528,180.028,244.22,1.672,100.318,1.127,2.897
19890403,-1.462,-2.799,1.336,-0.422,2.04,134.07,255.074,1.301,100.457,0.258,1.655
19890404,0.181,-1.153,1.704,1.219,1.915,137.358,261.75,1.775,100.822,0.078,4.2
19890405,3.008,1.802,1.896,3.947,1.523,195.583,269.666,2.618,100.189,2.166,6.466
19890406,4.045,3.381,1.72,4.561,2.06,56.846,315.605,0.592,99.26,3.397,4.181
19890407,4.54,3.95,0.405,4.962,0.487,111.418,305.429,0.183,99.601,3.055,3.034
19890408,6.701,4.311,1.622,8.409,2.911,192.772,285.928,2.141,99.74,1.897,2.166
19890409,5.427,4.19,1.446,6.31,2.311,127.716,296.655,1.456,99.867,1.425,2.057
19890410,5.554,3.996,3.597,6.666,3.236,155.308,294.408,1.97,99.902,0.034,3.089
19890411,9.989,8.634,1.788,10.956,3.049,175.95,318.264,3.041,99.244,0.337,2.958
19890412,13.159,10.241,1.1,15.243,3.706,206.187,317.399,5.44,98.844,2.402,2.664
19890413,13.724,11.586,1.716,15.252,2.875,213.946,311.06,5.902,98.731,0.136,3.276
19890414,11.976,9.835,1.054,13.379,2.68,215.306,301.646,5.291,99.429,0.0,3.775
19890415,11.595,8.917,1.359,13.349,3.118,223.795,299.451,4.812,99.905,0.0,2.973
19890416,5.268,4.277,2.075,5.918,0.734,159.107,291.7,2.273,100.095,0.0,3.81
19890417,3.164,0.951,1.626,4.614,2.642,176.964,275.091,1.732,99.808,3.732,1.384
19890418,2.898,1.249,0.9,3.979,1.805,170.431,296.138,0.403,99.734,5.579,1.643
19890419,3.479,1.985,2.451,4.376,2.62,139.472,297.164,1.051,99.905,4.013,2.803
19890420,5.533,4.161,0.822,6.356,1.379,149.622,309.421,0.961,100.05,6.229,2.591
19890421,5.97,3.32,1.945,7.56,3.789,169.222,293.411,2.198,100.361,0.127,0.953
19890422,5.134,2.482,1.848,6.725,3.637,193.085,290.152,2.345,99.534,0.003,1.807
19890423,4.424,2.685,0.948,5.468,1.945,199.377,281.068,2.315,99.408,0.566,3.335
19890424,4.363,2.235,1.691,5.639,3.027,226.413,273.026,2.915,99.939,0.039,2.447
19890425,10.137,7.087,3.506,11.968,3.428,190.753,323.695,3.528,99.26,11.097,3.41
19890426,10.423,8.706,0.898,11.453,2.518,169.257,328.264,2.634,98.738,4.263,1.516
19890427,6.294,6.117,2.675,6.401,0.831,64.93,325.904,0.673,98.978,0.182,2.383
19890428,5.507,3.704,2.234,6.588,2.563,179.515,297.708,2.005,99.915,0.182,1.896
19890429,6.735,4.147,1.108,8.154,2.432,253.167,273.137,3.14,100.282,0.0,2.838
19890430,7.297,3.232,2.245,9.527,3.972,221.96,284.015,3.741,100.801,0.025,1.709
19890501,8.057,4.434,4.704,10.045,4.38,245.067,292.62,4.498,100.986,0.0,1.38
19890502,10.804,9.649,0.87,11.382,1.67,142.631,353.263,2.438,100.714,0.093,1.847
