TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-3.065,-2.907,1.531,-3.538,0.626,10.356,260.372,0.374,102.587,0.068,1.957
19890102,0.407,0.128,2.062,1.245,0.563,6.376,304.952,0.349,102.115,0.009,2.919
19890103,1.602,1.25,0.728,2.657,0.227,6.611,308.73,0.479,101.704,0.019,2.955
19890104,1.399,1.357,1.053,1.525,0.544,4.585,314.317,0.576,100.999,0.156,2.588
19890105,2.706,2.448,1.403,3.482,0.29,4.457,317.722,0.613,100.131,0.739,2.94
19890106,-2.896,-2.774,1.044,-3.264,0.861,13.101,253.689,0.268,99.734,0.014,2.517
19890107,-1.571,-1.997,1.157,-0.292,1.124,10.995,252.753,0.77,99.528,0.495,2.725
19890108,-2.299,-2.231,4.305,-2.481,1.639,8.005,281.827,0.361,99.371,0.094,2.75
19890109,3.829,3.947,1.299,3.512,0.576,7.681,288.205,1.709,98.804,0.07,3.941
19890110,1.036,1.111,2.05,0.832,0.441,16.838,237.126,1.534,98.974,0.0,3.489
19890111,-1.693,-1.529,1.665,-2.135,0.632,17.451,249.659,0.998,100.091,0.062,2.715
19890112,3.883,3.716,0.676,4.289,0.242,6.224,325.112,1.251,99.946,0.374,4.116
19890113,2.903,2.726,0.714,3.331,0.29,4.141,315.924,0.454,99.706,3.039,2.827
19890114,1.752,1.458,2.203,2.467,1.031,2.674,282.605,0.772,99.95,0.436,3.65
19890115,5.34,4.69,2.14,6.92,0.824,12.889,272.813,2.491,98.762,0.367,5.194
19890116,4.687,4.903,1.246,4.164,0.753,19.823,272.926,2.806,99.837,0.003,4.05
19890117,4.493,4.637,2.322,4.143,0.336,17.878,261.114,3.565,99.326,0.047,4.648
19890118,0.727,0.225,1.291,1.947,0.53,20.632,241.219,2.71,100.671,0.155,3.368
19890119,2.071,1.816,2.372,2.693,0.943,18.594,277.656,0.708,100.867,0.0,2.832
19890120,5.276,5.217,0.317,5.421,0.637,14.278,306.317,1.543,100.885,0.031,3.545
19890121,3.744,3.685,1.022,3.888,0.145,4.782,325.586,0.407,100.609,0.557,2.216
19890122,2.241,1.912,1.643,3.04,0.334,20.672,275.514,1.635,100.036,0.479,3.37
19890123,-0.243,-0.122,1.168,-0.538,0.144,9.429,279.926,1.584,101.169,0.528,2.573
19890124,2.353,2.314,0.569,2.44,0.599,21.197,300.657,0.229,101.373,0.032,2.084
19890125,4.684,4.231,1.297,5.679,0.623,14.069,323.34,1.017,101.616,0.038,3.084
19890126,1.353,1.638,0.691,0.783,0.276,22.093,295.375,1.064,101.502,0.038,3.514
19890127,4.188,4.106,1.39,4.353,1.205,10.557,311.278,1.158,101.512,0.095,3.618
19890128,7.076,6.53,1.203,8.17,0.368,12.167,310.606,2.482,100.635,0.0,5.139
19890129,4.938,4.9,2.386,5.014,1.336,22.552,265.962,2.9,100.64,0.0,5.258
19890130,5.132,4.401,2.447,6.592,0.668,34.487,253.302,3.798,100.479,0.0,3.891
19890131,1.469,1.034,1.146,2.338,1.532,22.833,268.581,1.639,101.858,0.0,2.372
19890201,1.945,1.75,1.91,2.336,1.542,36.562,272.041,0.661,101.742,0.012,2.635
19890202,4.183,4.29,1.453,3.969,1.407,37.941,280.259,1.787,100.769,0.001,3.828
19890203,6.851,5.879,1.57,8.796,0.996,40.356,272.842,3.492,100.001,0.002,4.287
19890204,7.701,7.124,1.267,8.751,0.299,11.687,340.34,2.133,99.621,0.141,5.283
19890205,5.174,4.962,1.479,5.56,0.505,41.292,280.939,2.525,98.568,2.384,4.651
19890206,6.201,5.511,3.303,7.458,2.066,19.088,288.06,2.315,99.098,0.046,4.191
19890207,7.806,7.079,1.675,9.131,0.447,13.848,312.267,2.085,99.464,2.785,3.72
19890208,2.637,1.515,1.845,4.508,1.355,50.355,245.286,1.944,101.073,0.102,2.938
19890209,-1.148,-2.096,1.387,0.432,2.304,50.941,237.708,0.682,102.743,0.0,1.437
19890210,0.375,0.144,1.58,0.761,0.932,18.337,298.19,0.341,102.78,0.172,2.561
19890211,2.728,2.467,0.57,3.162,0.421,15.38,324.693,0.507,101.761,0.208,2.489
19890212,3.386,2.82,1.023,4.33,0.509,10.694,319.991,0.746,100.401,0.797,2.797
19890213,0.745,-0.101,1.156,2.156,2.007,60.207,245.132,1.563,100.436,0.061,2.726
19890214,1.272,0.653,1.195,2.305,0.375,21.724,293.887,0.722,99.405,2.942,3.404
19890215,0.775,0.172,3.135,1.78,1.894,23.669,279.286,1.06,98.508,1.699,3.771
19890216,0.077,-0.315,0.748,0.677,1.319,65.207,249.816,1.507,97.994,0.391,3.014
19890217,-0.765,-2.223,2.059,1.461,1.932,68.772,232.774,2.449,100.162,0.0,2.3
19890218,-2.655,-3.897,3.664,-0.758,3.503,70.064,238.122,1.173,100.966,0.424,2.349
19890219,3.039,2.284,1.517,4.097,1.798,13.587,314.174,0.788,98.892,6.16,4.401
19890220,1.634,0.555,1.479,3.146,1.615,67.948,245.776,1.559,99.413,0.0,2.511
19890221,-0.339,-1.891,1.467,1.833,2.66,68.857,236.575,1.56,100.063,0.0,2.369
19890222,-0.711,-2.089,1.733,1.218,2.863,79.035,245.668,1.424,100.237,0.037,2.124
19890223,0.509,0.011,0.83,1.205,0.933,24.829,287.304,0.316,99.076,2.7,3.117
19890224,1.406,0.724,0.364,2.361,0.746,53.555,280.311,1.074,98.59,0.104,3.203
19890225,1.458,1.135,0.629,1.909,1.223,45.186,306.091,0.484,98.16,9.798,3.076
19890226,3.972,3.798,0.731,4.217,0.373,13.097,328.855,0.145,96.932,3.621,2.806
19890227,3.963,3.805,0.427,4.165,0.269,8.367,330.132,0.114,96.619,3.935,2.838
19890228,2.588,2.198,0.442,3.088,0.883,44.892,306.646,0.38,97.246,0.416,1.878
19890301,2.407,1.476,0.872,3.507,1.437,43.128,300.645,0.778,98.409,0.189,2.379
19890302,2.243,1.305,0.75,3.351,1.585,60.225,294.16,1.018,99.656,0.113,1.606
19890303,0.914,0.155,0.414,1.81,0.935,63.987,290.353,0.793,100.455,0.019,0.954
19890304,1.286,0.816,1.112,1.84,1.328,52.148,293.31,0.59,100.994,0.174,1.39
19890305,2.212,1.586,1.114,2.952,0.752,31.818,297.953,0.335,100.881,3.166,2.189
19890306,1.524,0.302,1.881,2.968,3.0,81.224,276.226,0.426,101.813,0.0,1.855
19890307,2.948,1.739,0.664,4.377,0.854,44.736,313.575,0.51,101.843,0.19,2.978
19890308,1.813,0.861,0.686,2.938,1.079,46.429,307.082,1.216,101.426,0.063,2.28
19890309,1.117,0.336,0.949,2.04,1.14,54.533,301.269,0.926,101.506,0.107,1.801
19890310,3.384,3.324,2.059,3.456,0.917,21.017,321.968,0.577,101.05,1.384,3.763
19890311,4.912,3.822,1.709,6.002,0.563,18.268,313.086,0.354,100.682,4.267,2.462
19890312,3.285,1.975,2.488,4.596,3.129,104.336,269.299,1.358,100.848,0.0,2.625
19890313,2.444,1.804,0.391,3.084,1.091,57.484,298.722,0.758,99.937,6.332,3.398
19890314,4.181,3.424,0.799,4.939,1.217,64.546,300.375,1.309,98.232,1.387,3.496
19890315,2.724,0.653,1.126,4.795,3.1,121.781,252.252,2.235,98.819,0.131,2.029
19890316,1.065,0.184,1.008,1.946,0.996,38.767,314.96,0.256,98.786,2.985,2.025
19890317,1.774,0.406,1.01,3.141,2.357,130.424,267.371,1.505,99.091,0.539,2.165
19890318,1.15,-0.44,2.075,2.741,2.863,144.717,237.239,2.865,100.0,0.035,2.572
19890319,4.15,2.633,1.221,5.666,2.736,69.684,292.487,2.314,99.464,2.051,3.545
19890320,4.654,3.59,3.678,5.718,3.04,50.642,309.702,0.942,99.825,1.16,2.666
19890321,6.245,5.477,0.955,6.952,1.54,68.162,321.346,1.48,99.168,1.749,1.959
19890322,3.888,2.76,1.461,4.927,2.637,107.603,277.167,2.35,98.457,1.015,3.152
19890323,2.141,1.002,0.866,3.105,0.818,57.603,299.569,0.316,98.156,7.605,2.085
19890324,1.754,0.546,1.251,2.777,1.992,84.591,288.983,0.938,98.294,3.742,3.106
19890325,3.082,2.155,0.454,3.868,0.983,77.492,312.412,0.694,97.853,2.278,2.115
19890326,2.953,1.057,1.08,4.556,2.306,101.564,287.902,1.812,100.31,1.243,2.667
19890327,2.393,1.133,1.876,3.46,2.033,59.918,294.717,0.825,101.149,0.21,1.292
19890328,6.728,5.043,1.778,8.154,2.194,80.89,314.518,1.748,100.273,2.418,2.925
19890329,6.542,5.065,2.622,7.791,2.381,161.943,276.034,4.582,99.923,1.095,4.339
19890330,4.043,2.437,1.793,5.402,2.396,122.236,284.218,2.526,100.454,0.456,1.395
19890331,3.014,1.158,1.532,4.458,1.26,123.465,279.3,1.867,100.957,0.534,2.281
19890401,0.055,-1.324,0.542,1.127,1.567,166.943,244.589,2.128,101.805,0.882,3.959
19890402,-0.697,-1.374,0.756,-0.17,0.997,156.327,259.6,1.982,101.595,0.911,3.779
19890403,-0.929,-2.138,1.252,0.011,0.995,161.008,259.822,1.6,101.481,1.574,2.63
19890404,-0.711,-3.649,2.183,1.388,3.136,114.889,258.729,1.862,102.204,0.318,1.452
19890405,0.376,-2.91,2.394,2.724,3.859,203.102,233.775,2.491,102.31,0.0,1.445
19890406,2.206,-0.181,2.699,3.911,3.123,172.828,272.529,2.113,101.399,1.375,2.849
19890407,3.228,1.812,0.564,4.239,1.459,78.362,321.421,0.891,100.948,3.483,1.715
19890408,3.408,2.211,1.543,4.262,2.23,79.866,306.5,0.721,100.541,0.481,1.817
19890409,4.481,3.237,1.067,5.369,1.679,106.348,300.603,0.473,100.465,5.765,2.181
19890410,5.839,4.342,1.062,6.819,2.089,87.682,313.694,1.926,100.885,0.234,2.02
19890411,6.102,4.829,1.049,6.936,2.619,88.871,320.027,1.312,100.474,2.588,2.964
19890412,9.844,6.128,2.431,12.278,4.888,198.231,299.86,3.561,100.205,0.0,2.904
19890413,11.331,8.425,1.568,13.235,3.515,191.277,307.324,4.58,100.409,0.0,2.709
19890414,11.875,7.949,3.005,14.448,5.405,220.514,290.923,6.046,101.128,0.0,1.942
19890415,7.813,4.801,1.773,9.786,3.577,211.135,285.103,3.717,101.62,0.0,2.329
19890416,5.082,2.432,1.415,6.672,2.806,209.192,266.859,3.499,101.613,0.004,2.579
19890417,2.521,1.695,0.176,3.017,1.183,101.303,312.187,0.847,100.794,4.735,1.987
19890418,3.648,2.091,0.846,4.582,1.459,129.915,308.85,1.606,100.828,4.984,2.405
19890419,3.515,2.338,1.294,4.22,1.443,59.667,327.309,0.612,100.783,4.527,1.506
19890420,3.994,3.391,1.169,4.324,1.235,15.429,337.85,0.236,101.161,9.447,1.058
19890421,5.92,4.503,1.064,6.697,2.23,124.788,323.73,1.321,100.985,0.653,1.54
19890422,7.596,5.329,1.647,8.839,2.932,187.503,300.125,3.487,100.145,0.391,1.994
19890423,3.18,2.457,1.126,3.577,1.526,139.093,290.971,2.025,99.518,1.808,2.55
19890424,3.634,1.749,1.746,4.668,2.135,215.667,256.165,2.753,100.224,1.491,3.105
19890425,4.233,4.042,3.903,4.338,2.664,63.95,305.848,1.784,100.638,7.975,3.269
19890426,10.375,8.375,1.036,11.472,2.568,201.752,317.904,4.289,100.012,1.699,3.049
19890427,9.84,8.583,0.711,10.529,1.176,77.508,352.065,0.991,99.691,14.53,1.892
19890428,7.97,7.468,0.78,8.246,0.927,95.11,344.114,1.541,100.424,0.1,1.545
19890429,7.444,5.275,1.822,8.529,1.774,128.853,314.424,3.158,100.857,0.086,1.702
19890430,7.328,3.362,2.823,9.312,4.443,269.94,264.349,5.435,101.573,0.0,1.519
19890501,9.387,6.137,3.618,10.864,4.589,240.231,287.077,6.092,101.564,0.0,2.54
19890502,11.528,8.705,2.531,12.812,3.609,179.297,321.923,4.91,101.088,0.0,2.369
19890503,13.417,9.823,3.969,15.051,5.083,217.054,328.984,5.844,101.109,0.161,1.844
19890504,11.377,9.094,1.959,12.415,2.944,247.934,308.792,5.937,101.45,0.277,1.898
19890505,10.062,8.073,1.7,10.966,3.379,236.441,297.127,5.741,100.963,1.24,1.771
19890506,8.714,6.422,1.928,9.756,2.398,230.724,291.582,4.502,100.801,0.751,2.379
19890507,9.701,6.918,4.195,10.966,4.547,233.587,295.738,6.379,100.807,0.034,1.887
19890508,10.688,8.141,1.8,11.846,2.875,242.73,304.792,5.584,100.124,3.087,2.086
19890509,9.409,6.952,1.578,10.526,2.399,185.067,316.645,2.966,99.415,2.908,2.961
19890510,9.118,6.611,1.396,10.257,2.387,258.909,285.392,4.757,98.912,0.367,4.496
19890511,8.481,5.691,1.812,9.63,2.929,202.08,297.865,4.376,99.74,0.317,1.725
19890512,8.278,5.695,1.407,9.341,2.64,210.349,312.169,3.498,99.902,2.506,2.753
19890513,10.589,8.263,0.929,11.453,2.274,180.963,328.952,3.471,99.572,3.798,3.006
19890514,8.746,7.332,1.063,9.272,1.709,181.283,306.604,2.257,100.285,5.405,2.763
19890515,12.159,8.636,3.334,13.468,4.962,295.165,290.342,6.394,101.678,0.0,2.396
19890516,14.364,11.091,2.092,15.58,3.701,298.338,301.703,7.559,101.515,0.008,4.042
19890517,13.277,10.506,1.492,14.307,3.748,314.917,288.626,8.179,101.462,0.023,2.988
19890518,13.534,11.083,2.619,14.444,3.952,288.029,298.327,8.478,101.713,0.0,2.105
19890519,13.72,10.29,1.544,14.994,3.439,183.686,331.166,6.737,101.518,0.739,2.737
19890520,11.942,8.021,1.854,13.399,3.34,291.81,289.634,7.774,102.199,0.0,1.952
19890521,9.164,4.967,1.447,10.722,3.309,324.492,268.485,6.021,102.757,0.0,2.121
19890522,13.736,8.123,6.189,15.821,7.758,314.497,296.672,10.098,102.634,0.0,1.763
19890523,17.423,12.544,2.859,19.235,5.472,296.416,317.013,11.154,102.232,0.0,1.385
19890524,18.846,13.548,2.872,20.813,5.542,326.371,307.608,15.277,102.074,0.0,2.438
19890525,19.623,14.205,2.622,21.428,5.172,321.957,319.014,14.794,101.793,0.0,2.81
19890526,10.83,9.402,5.152,11.305,2.489,232.744,323.527,4.364,101.636,3.713,2.491
19890527,10.576,6.235,1.083,11.866,2.918,252.114,306.554,5.2,101.653,0.187,1.698
19890528,13.038,9.209,3.158,14.176,4.389,262.202,304.165,7.648,101.211,0.0,3.418
19890529,12.403,9.894,1.319,13.149,1.721,238.191,318.373,6.401,99.976,0.436,3.363
19890530,11.389,7.826,0.561,12.449,3.052,237.919,302.446,7.36,99.989,0.04,2.04
19890531,6.819,6.249,1.318,6.988,0.734,52.322,336.267,0.757,99.484,12.487,3.009
19890601,9.574,6.799,1.596,10.399,2.728,280.954,301.579,3.944,100.059,0.839,3.138
19890602,10.866,7.412,1.324,11.893,3.048,266.307,299.463,5.48,100.537,0.57,2.44
19890603,9.414,6.832,1.358,10.181,2.819,148.503,321.598,2.604,100.799,3.575,2.015
19890604,8.951,7.971,0.137,9.243,0.856,86.487,344.162,1.071,100.442,1.239,2.976
19890605,12.196,9.807,1.899,12.906,3.26,134.329,350.88,3.307,100.183,0.322,1.744
19890606,14.038,11.398,1.818,14.823,3.749,234.359,332.309,5.009,100.441,0.54,1.055
19890607,13.024,10.354,1.032,13.818,2.819,151.852,338.534,4.624,100.433,11.417,1.86
19890608,12.993,10.038,1.06,13.871,2.707,250.155,329.154,4.808,100.115,0.428,3.335
19890609,13.078,9.664,1.34,14.093,3.075,274.626,305.529,6.111,100.995,0.0,2.806
