TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-13.388,-12.296,3.402,-18.119,1.397,2.776,217.755,0.0,101.976,2.393,1.365
19890102,0.564,-0.23,4.221,4.002,1.213,1.39,273.945,0.886,100.834,0.325,2.455
19890103,3.154,2.837,1.912,4.527,1.316,2.494,255.182,1.655,100.427,0.01,2.512
19890104,0.59,0.434,2.467,1.267,0.044,3.458,236.175,0.655,100.026,0.001,1.695
19890105,-2.326,-2.414,1.703,-1.945,1.028,2.912,250.816,0.477,99.107,0.032,1.949
19890106,1.434,1.194,0.759,2.471,0.157,2.903,253.746,1.123,98.626,0.35,2.145
19890107,-2.765,-2.686,1.699,-3.106,0.447,1.897,266.328,0.342,98.97,0.554,1.386
19890108,-3.858,-3.782,2.447,-4.19,1.054,1.612,280.07,0.037,98.73,5.399,1.589
19890109,0.956,0.522,1.971,2.836,0.351,2.939,262.621,1.004,97.443,0.854,1.895
19890110,-2.723,-2.983,2.614,-1.733,0.905,5.128,248.215,0.317,97.841,1.652,1.458
19890111,-9.86,-9.595,3.613,-10.865,0.694,5.625,227.606,0.032,99.47,0.233,1.072
19890112,-3.881,-4.115,1.517,-2.993,0.367,4.065,274.032,0.009,99.035,1.898,1.485
19890113,-5.571,-5.601,0.447,-5.471,0.072,2.854,274.565,0.007,99.422,0.206,1.082
19890114,-3.258,-3.758,2.916,-1.576,1.155,1.075,279.178,0.017,99.108,11.343,1.606
19890115,0.257,0.445,2.265,-0.374,0.488,3.465,252.179,0.74,97.28,2.056,2.359
19890116,1.663,1.643,1.673,1.732,0.43,8.008,243.944,1.651,98.45,0.732,2.821
19890117,0.129,0.083,0.39,0.282,0.462,5.937,268.372,1.008,97.724,6.952,2.623
19890118,-4.95,-5.53,4.257,-2.997,0.294,9.101,211.73,0.437,99.786,0.003,1.796
19890119,-1.539,-2.161,3.96,0.55,1.31,7.738,265.733,0.205,99.857,2.479,2.047
19890120,0.031,-0.405,1.006,1.336,0.278,8.135,260.799,0.58,99.981,0.234,1.776
19890121,-2.666,-1.853,2.512,-5.105,1.183,6.64,256.914,0.136,100.041,1.89,1.826
19890122,-0.221,-0.609,1.569,0.941,0.531,9.607,249.988,1.142,98.689,1.094,2.724
19890123,-4.412,-4.961,3.859,-2.765,0.366,11.749,204.399,0.945,100.087,0.001,1.945
