TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-12.861,-11.855,3.135,-17.222,1.287,2.757,230.479,0.344,99.512,2.283,2.607
19890102,-0.006,-0.737,3.889,3.163,1.118,1.381,281.728,1.127,98.352,0.31,4.688
19890103,2.381,2.089,1.762,3.646,1.213,2.477,264.615,1.785,97.938,0.01,4.795
19890104,0.019,-0.125,2.273,0.643,0.041,3.435,247.279,0.955,97.531,0.001,3.237
19890105,-2.668,-2.749,1.569,-2.318,0.948,2.86,260.633,0.808,96.598,0.031,3.722
19890106,0.796,0.575,0.699,1.751,0.145,2.884,263.305,1.344,96.109,0.334,4.095
19890107,-3.073,-3.0,1.565,-3.387,0.412,1.884,274.781,0.696,96.458,0.529,2.646
19890108,-4.081,-4.01,2.254,-4.386,0.972,1.602,287.314,0.423,96.215,5.151,3.034
19890109,0.356,-0.044,1.816,2.088,0.324,2.92,271.4,1.235,94.908,0.815,3.618
19890110,-3.034,-3.275,2.377,-1.988,0.761,5.095,258.261,0.664,95.311,1.576,2.785
19890111,-9.611,-9.367,3.33,-10.537,0.639,5.588,239.464,0.426,96.966,0.222,2.047
19890112,-4.102,-4.317,1.398,-3.283,0.338,4.038,281.808,0.407,96.525,1.811,2.836
19890113,-5.659,-5.685,0.406,-5.557,0.063,2.835,282.294,0.381,96.918,0.196,2.066
19890114,-3.527,-3.988,2.687,-1.978,1.064,1.068,286.501,0.379,96.598,10.822,3.066
19890115,-0.288,-0.115,2.087,-0.87,0.45,3.442,261.876,1.026,94.741,1.961,4.504
19890116,1.007,0.988,1.542,1.071,0.396,7.955,254.366,1.781,95.93,0.698,5.386
19890117,-0.407,-0.448,0.36,-0.266,0.426,5.898,276.645,1.246,95.192,6.633,5.008
19890118,-5.086,-5.621,3.923,-3.287,0.271,9.041,224.984,0.759,97.288,0.003,3.429
19890119,-1.944,-2.516,3.649,-0.018,1.207,7.687,274.238,0.566,97.36,2.365,3.909
19890120,-0.497,-0.898,0.927,0.706,0.256,8.082,269.738,0.893,97.486,0.223,3.39
19890121,-2.981,-2.232,2.314,-5.229,1.09,6.596,266.194,0.521,97.546,1.803,3.486
19890122,-0.729,-1.086,1.445,0.342,0.489,9.544,259.877,1.359,96.173,1.044,5.201
19890123,-4.591,-5.096,3.556,-3.073,0.337,11.671,218.298,1.179,97.593,0.001,3.713
