SiteCode,SiteName,Latitude,Longitude,IGBPCode
AE-ADb,Abu Dhabi Eastern Mangroves,24.450883,54.428792,WET
AT-Fue,Fuegen,47.367374,11.854709,GRA
AT-Hnb,Höllengebirge,47.803333,13.591389,BSV
AT-Inn,Innsbruck,47.264096,11.385816,URB
AT-Lan,Laengenfeld,47.061221,10.963454,GRA
AT-Leu,Leutasch,47.378036,11.16278,GRA
AT-Mmg,Mieming,47.316564,10.970089,ENF
AT-Neu,Neustift,47.1166687,11.31750011,GRA
AT-Rtz,Rotholz,47.39472222,11.80472222,GRA
AT-Sch,Scharnitz,47.387291,11.247935,GRA
AT-StA,Stubai Abandoned,47.12528,11.28944,GRA
AT-StM,Stubai Meadow,47.12889,11.30583,GRA
AT-StP,Stubai Pasture,47.13694,11.30361,GRA
AT-VnA,Vienna_Arsenal,48.18183766,16.39085089,URB
BE-Bra,Brasschaat,51.30761,4.51984,MF
BE-Dor,Dorinne,50.311876,4.968113,GRA
BE-Jal,La Robinette (Jalhay),50.56388889,6.073333333,MF
BE-Lcr,Lochristi,51.11218,3.85043,DBF
BE-Lon,Lonzee,50.5516198,4.7462339,CRO
BE-Maa,Maasmechelen,50.979868,5.631851,CSH
BE-Vie,Vielsalm,50.304962,5.998099,MF
BE-Wm1,Westmalle1,51.2964325,4.657248497,CRO
BF-Bon,Bontioli,10.865556,-3.072778,SAV
BF-Btd,Boudtenga,12.46,-1.25,CRO
BG-Crp,Chirpan,42.2149,25.2817,CRO
BG-Rzn,Rozhen,41.6947,24.7387,ENF
BJ-Nan,Nangatchori,9.646983333,1.740883333,CRO
BW-GhG,Ghanzi Grass Site,-21.51,21.74,GRA
BW-GhM,Ghanzi Mixed Site,-21.2,21.75,SAV
BW-Ghz,Ghanzi/Okwa River Crossing,-22.40916667,21.71305556,OSH
BW-Gum,Guma,-18.96472222,22.37111111,WET
BW-Kvb,Kavimba,-18.1076,24.637,SAV
BW-Ma1,Maun,-19.9165,23.56033333,SAV
BW-Mkt,Maun - Kalahari Transect,-19.923,23.594,SAV
BW-Nxr,Nxaraga,-19.54805556,23.17916667,GRA
CD-Ygb,Yangambi,0.814444,24.502472,EBF
CG-Hin,Hinda,-4.68111111,12.0036111,EBF
CG-Kis,Kissoko,-4.791388889,11.98222222,EBF
CG-Tch,Tchizalamou,-4.289166667,11.65641667,SAV
CH-Aws,Alp Weissenstein,46.583194,9.790417,GRA
CH-BaA,Basel Aeschenplatz,47.55123,7.5956,URB
CH-BaK,Basel Klingelbergstrasse,47.56173,7.58049,URB
CH-Cha,Chamau,47.21022222,8.410444444,GRA
CH-Dav,Davos,46.81533,9.85591,ENF
CH-Dsc,Dischma,46.7896991,9.864438203,GRA
CH-Frk,Furka,46.577752,8.421466,GRA
CH-Fru,Früebüel,47.11583333,8.537777778,GRA
CH-Lae,Laegern,47.478333,8.364389,MF
CH-Oe1,Oensingen grassland,47.28583333,7.731944444,GRA
CH-Oe2,Oensingen crop,47.286417,7.73375,CRO
CH-Rtb,Rietholzbach,47.3804,8.9934,GRA
CH-See,Seebodenalp,47.0567,8.4644,GRA
CR-AqC,Aquiares Coffee-Flux,9.93833,-83.72861,EBF
CZ-BK1,Bily Kriz forest,49.50207615,18.53688247,ENF
CZ-BK2,Bily Kriz grassland,49.49443,18.54285,GRA
CZ-KrP,Kresin u Pacova,49.573257,15.078773,CRO
CZ-Lnz,Lanzhot,48.6815483,16.9463317,MF
CZ-RAJ,Rajec,49.4437236,16.6965125,ENF
CZ-Stn,Stitna,49.035975,17.9699,DBF
CZ-wet,Trebon (CZECHWET),49.02465,14.77035,WET
DE-Akm,Anklam,53.86617,13.68342,WET
DE-Amv,Amtsvenn,52.1757,6.95543,WET
DE-Bay,Bayreuth,50.14194,11.86694,ENF
DE-BeC,Berlin TU Campus Charlottenburg,52.512283,13.327855,URB
DE-BeR,Berlin-Rothenburgstrasse,52.457232,13.315827,URB
DE-Bou,Bourtanger Moor,52.655284,7.183765,WET
DE-Brs,Braunschweig,52.29663,10.44871,CRO
DE-Dgw,Dagowsee,53.1514092,13.0542746,WAT
DE-Fen,Fendt,47.83292,11.06056,GRA
DE-Geb,Gebesee,51.09973,10.91463,CRO
DE-Gri,Grillenburg,50.95004,13.51259,GRA
DE-GsB,Grosses Bruch,52.029647,11.10478,GRA
DE-Gwg,Graswang,47.57083,11.03261,GRA
DE-Hai,Hainich,51.0794084,10.4520894,DBF
DE-Har,Hartheim,47.933,7.5981,ENF
DE-Hdn,Heydenhof,53.868253,13.268543,CRO
DE-Hmm,Himmelmoor,53.739807,9.848723,WET
DE-HoH,Hohes Holz,52.08656,11.22235,DBF
DE-Hte,Huetelmoor,54.210278,12.176111,WET
DE-Hzd,Hetzdorf,50.96381,13.48978,DBF
DE-Kan,Kannenbruch,53.784328,10.604899,DBF
DE-Kie,Kienhorst,52.97343,13.64393,ENF
DE-Kli,Klingenberg,50.89306,13.52238,CRO
DE-Lkb,Lackenberg,49.09961667,13.30466667,ENF
DE-Lnf,Leinefelde,51.3282167,10.3678,DBF
DE-Me2,Mehrstedt 2,51.275366,10.65555,GRA
DE-Meh,Mehrstedt,51.27530556,10.65547222,MF
DE-Msr,Mooseurach,47.809181,11.456168,ENF
DE-Obe,Oberbärenburg,50.78666,13.72129,ENF
DE-Okd,Oberklenkendorf,53.412597,9.092467,GRA
DE-RbW,Rottenbuch West,47.72991,10.96898,GRA
DE-Rns,Reinshof,51.49495,9.932128,CRO
DE-RuR,Rollesbroich,50.6219142,6.3041256,GRA
DE-RuS,Selhausen Juelich,50.86590702,6.447144704,CRO
DE-RuW,Wustebach,50.50492685,6.330962475,ENF
DE-Sch,Schönau,47.6,12.96666667,GRA
DE-Seh,Selhausen,50.8706233,6.44965306,CRO
DE-SfN,Schechenfilz Nord,47.806389,11.3275,WET
DE-SfS,Schechenfilz Sued,47.80629,11.32757,WET
DE-Sng,Solling,51.75813,9.59333,ENF
DE-Spw,Spreewald,51.89225,14.03369,WET
DE-Tha,Tharandt,50.96256,13.56515,ENF
DE-UtM,Uchter Moor,52.5083,8.825833,WET
DE-Wet,Wetzstein,50.4535,11.45753333,ENF
DE-Zrk,Zarnekow,53.875943,12.88901,WET
DK-Eng,Enghave,55.69052778,12.19175,GRA
DK-Fou,Foulum,56.48419952,9.587220192,CRO
DK-Gds,Gludsted Plantage,56.0737,9.3341,ENF
DK-Lva,Rimi,55.68330002,12.08329964,GRA
DK-MkA,Morke E-AR,56.38131,10.39461,CRO
DK-MkG,Morke E-PG,56.38178,10.40312,GRA
DK-MkR,Morke E-RG,56.38179,10.4006,CRO
DK-RCT,Risø Campus Tower,55.694101,12.088284,URB
DK-RCW,Risø Campus Willow,55.680682,12.101398,DBF
DK-Ris,Risbyholm,55.53027778,12.09722222,CRO
DK-SkA,Skjern W-AR,55.93777,8.44656,CRO
DK-SkG,Skjern W-PG,55.94116,8.447355,GRA
DK-Skj,Skjern,55.91273,8.40481,WET
DK-Sor,Soroe,55.4858694,11.6446444,DBF
DK-SVA,Store Vildmose N-AR,57.23313,9.84435,CRO
DK-SVG,Store Vildmose N-PG,57.22988,9.83291,GRA
DK-SVR,Store Vildmose N-RG,57.23312,9.84462,CRO
DK-Ulb,Ulborg,56.29102778,8.428027778,ENF
DK-Vng,Voulundgaard,56.0374765,9.16070962,CRO
EE-Aar,Aardlapalu grassland,58.31305,26.74388,GRA
EE-Aga,Agali Forest Station,58.287472,27.283525,DBF
